"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",1.19405727418367,0.232455564794471
"ANKRD28","B_Cells",0.0613398440052999,0.95108855960006
"BASP1","B_Cells",0.631658201703678,0.527610246293455
"C2orf42","B_Cells",0.00571760410538705,0.995438036815396
"CCPG1","B_Cells",0.0308728624244303,0.975370932251368
"CLDN4","B_Cells",0.00583863614179166,0.9953414688343
"CXCR4","B_Cells",0.0926023296717683,0.9262194928929
"CYTIP","B_Cells",2.59960861020588,0.00933301392993798
"DAPK3","B_Cells",0.00538061281265613,0.995706912823991
"DUSP5","B_Cells",0.192946902726907,0.84700055206261
"ERN1","B_Cells",0.0820970172264848,0.934569565027578
"ESR1","B_Cells",0.00170843627885619,0.998636865733094
"FAM107B","B_Cells",0.00453300660183191,0.996383196404822
"FAM49A","B_Cells",1.57569681792216,0.115095691151558
"GLIPR1","B_Cells",1.18436025669139,0.236270485537974
"HDC","B_Cells",0.527250058697107,0.598019950258149
"HMGA1","B_Cells",0.0731506098099752,0.94168626869414
"ITM2C","B_Cells",0.666901878110991,0.504834811223269
"KARS","B_Cells",0.856980042947142,0.391455914142124
"LDHB","B_Cells",0.0604366648713303,0.951807857670243
"LGALSL","B_Cells",0.0580742513033134,0.953689484251797
"LPXN","B_Cells",0.0462531983017628,0.963108441699929
"MAP3K8","B_Cells",0.0748682689623797,0.940319523376998
"MDM2","B_Cells",0.0401307818901703,0.967988861162054
"MRC1","B_Cells",0.0639500871674234,0.949009970073871
"MZB1","B_Cells",1.04630091421061,0.295422123469951
"NPM3","B_Cells",0.0498425622659011,0.960247849030543
"OCIAD2","B_Cells",0.0299884963451665,0.976076227632506
"PDE4A","B_Cells",1.08094509258042,0.279721538611765
"PELI1","B_Cells",0.0587566670043364,0.9531459235161
"PIM1","B_Cells",1.70842847080165,0.0875568682066346
"PRDM1","B_Cells",1.52651394324865,0.126881920665016
"RAB30","B_Cells",0.824075666582806,0.409896565443545
"RAPGEF3","B_Cells",0.0550742385368256,0.956079319656181
"RUNX1","B_Cells",2.39288775987122,0.0167163539479455
"SEC11C","B_Cells",0.180734127195288,0.856576270254113
"SEC24A","B_Cells",0.0453827496712663,0.963802230588063
"SELL","B_Cells",2.24692241770499,0.0246449857457968
"SLC25A37","B_Cells",0.0051534128046821,0.995888189687721
"SMAP2","B_Cells",0.597889269507063,0.549913820237421
"SQLE","B_Cells",0.0699904187843643,0.944201285638945
"TENT5C","B_Cells",0.121185048542834,0.903544466367459
"THAP2","B_Cells",0.0559821944703221,0.95535599166836
"TIFA","B_Cells",0.0705559264920605,0.943751188510689
"TMEM147","B_Cells",1.56965876977798,0.11649451806806
"TOMM7","B_Cells",0.239702045010244,0.810561249469127
"TPD52","B_Cells",0.884623681236663,0.376359629986909
"TRAPPC3","B_Cells",0.0698939289300114,0.944278085325567
"TRIB1","B_Cells",0.0693949360886395,0.94467525962004
"TUBA4A","B_Cells",0.0769089314723445,0.938695992307165
"TUBB2B","B_Cells",0.00552216661922729,0.995593970905496
"VOPP1","B_Cells",0.997558322444697,0.31849357941415
"WARS","B_Cells",0.25925528685528,0.795438276110203
"ACTG2","CD4+_T_Cells",0.470483889447747,0.638009341757589
"ADGRE5","CD4+_T_Cells",0.927161264064755,0.35384281137974
"ANKRD28","CD4+_T_Cells",0.0527483106008912,0.957932446283734
"ANKRD29","CD4+_T_Cells",0.0660804316495305,0.947313790076249
"APOBEC3B","CD4+_T_Cells",0.0872596757479177,0.930465105805854
"BACE2","CD4+_T_Cells",0.0414985821609687,0.96689842315369
"CD247","CD4+_T_Cells",0.84516395892329,0.39801930208561
"CD3D","CD4+_T_Cells",0.0497813101745495,0.960296660534704
"CD3G","CD4+_T_Cells",0.0213108911066482,0.982997655966112
"CD4","CD4+_T_Cells",0.061753051308385,0.950759491714291
"CD69","CD4+_T_Cells",0.0687749761061466,0.945168737086631
"CTLA4","CD4+_T_Cells",0.0722024449257849,0.942440799484912
"CTTN","CD4+_T_Cells",0.0720635436656272,0.942551338704264
"CXCR4","CD4+_T_Cells",0.396465962186356,0.691761313218192
"CYTIP","CD4+_T_Cells",0.0669615424035918,0.946612319169084
"DSC2","CD4+_T_Cells",0.0585584490881505,0.953303806682046
"ESM1","CD4+_T_Cells",0.00623128605451846,0.995028185238212
"FAM107B","CD4+_T_Cells",0.00405897537411883,0.99676141510908
"FBLIM1","CD4+_T_Cells",0.0404198762001265,0.967758384280671
"GLIPR1","CD4+_T_Cells",0.0572740461219183,0.954326894601085
"HDC","CD4+_T_Cells",0.00526050888830365,0.995802740534493
"HMGA1","CD4+_T_Cells",0.369284667999506,0.711915552362968
"HPX","CD4+_T_Cells",0.00581098112976953,0.995363533967101
"IGF1","CD4+_T_Cells",0.00513424047678619,0.995903486789769
"IL2RG","CD4+_T_Cells",0.068057934275204,0.945739516261532
"IL3RA","CD4+_T_Cells",0.00615803081722729,0.995086633339583
"IL7R","CD4+_T_Cells",0.064022412352994,0.948952380937588
