ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AGR3,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLDN4,CLEC14A,CLEC9A,CLECL1,CRISPLD2,CTLA4,CTTN,CX3CR1,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DERL3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MRC1,MS4A1,MYH11,MYLK,MYO5B,MZB1,NARS,NKG7,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SOX17,SPIB,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCEAL7,TCF4,TCF7,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
4,8,8,4,1,0,12,2,2,1,0,0,2,1,21,0,1,3,2,4,0,1,0,6,0,1,2,2,2,0,3,1,0,4,2,1,0,56,3,0,2,1,1,0,5,0,0,1,7,4,5,1,8,0,0,3,2,4,1,9,0,2,13,13,2,4,4,0,0,0,0,1,12,0,5,2,7,6,0,0,1,3,0,2,15,5,1,4,0,1,1,0,5,4,23,124,3,7,3,1,17,1,1,0,0,0,1,16,24,1,1,0,30,0,1,0,7,3,0,1,1,2,0,3,1,0,3,1,1,1,10,0,2,1,2,2,0,0,3,0,0,0,3,2,1,1,0,0,1,23,19,1,7,3,1,0,3,0,2,9,0,3,8,1,7,0,0,12,2,0,3,0,1,1,0,1,2,13,1,15,0,0,0,1,0,4,0,0,0,2,0,2,2,0,0,22,5,0,5,0,1,0,13,5,6,1,0,0,4,1,3,13,5,4,46,2,5,8,0,1,47,1,1,1,1,0,0,0,3,8,4,0,0,5,2,2,1,18,0,0,0,1,10,3,0,3,0,9,0,15,14,10,2,11,7,2,0,1,1,0,7,8,0,6,0,3,2
0,2,2,1,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,2,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,3,0,0,0,1,1,4,0,0,1,4,1,0,0,2,0,1,2,1,7,0,0,0,0,0,0,0,1,5,11,1,0,2,0,3,1,0,0,1,2,0,4,4,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,7,8,0,1,1,0,0,2,1,0,7,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,12,0,1,0,1,0,3,0,0,0,0,0,3,0,0,2,4,0,3,0,0,0,1,1,7,1,0,0,1,0,0,2,0,0,3,0,0,0,1,0,1,4,0,0,0,0,2,0,0,0,0,1,0,2,1,4,0,1,2,1,0,2,0,0,0,1,0,2,0,1,0
1,11,6,1,0,0,0,3,0,1,0,0,0,1,2,0,0,3,0,0,0,2,1,1,7,0,2,3,0,0,0,5,0,1,2,5,0,8,0,0,0,0,1,0,1,1,0,2,7,1,5,7,3,0,0,0,1,4,0,1,7,0,0,2,0,0,0,14,0,1,4,0,1,1,26,3,11,6,2,0,0,1,1,0,0,3,0,1,0,0,2,0,0,3,0,7,0,1,2,0,0,2,0,0,2,2,1,2,2,0,0,1,0,0,2,0,1,7,0,0,0,2,1,1,0,6,3,1,1,0,14,2,0,0,0,1,7,1,0,4,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,3,1,2,23,0,0,5,2,4,0,2,0,0,1,13,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,2,8,8,2,2,1,5,0,12,1,0,2,6,2,2,0,1,4,0,3,1,0,7,1,1,0,4,3,1,0,1,0,0,1,1,2,1,0,0,1,1,0,2,1,0,3,2,3,1,1,0,0,0,0,0,9,1,1,0,8,0,0,1,3,0,0,0,8,0,4,2,3,0
4,6,13,4,0,0,6,2,0,0,1,0,1,1,46,0,4,0,0,7,0,5,0,6,0,1,0,0,0,0,2,0,0,15,0,0,0,72,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,13,0,1,28,33,1,1,10,0,0,0,2,0,23,0,1,3,2,1,2,0,2,0,0,6,18,8,0,1,0,0,2,1,10,7,29,180,1,10,2,0,21,0,0,0,2,1,0,31,34,0,0,1,41,0,2,0,1,0,0,0,3,1,2,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,2,1,0,1,0,48,51,0,6,0,1,1,0,0,0,6,0,8,4,1,10,0,1,28,0,3,0,0,0,0,0,1,3,8,1,16,0,0,0,2,0,6,1,0,1,1,1,2,2,0,0,22,1,1,0,0,0,0,2,1,8,0,0,0,8,1,7,23,9,4,47,0,3,7,0,11,43,3,1,0,7,0,0,0,7,1,7,0,0,4,3,0,2,76,0,0,0,22,9,3,0,0,0,10,0,14,0,9,2,1,3,9,1,4,0,0,7,5,1,5,1,1,7
1,22,9,1,2,0,5,3,1,0,0,0,2,0,14,0,6,1,0,4,0,6,2,10,0,0,0,2,1,0,2,1,0,10,5,4,0,53,2,1,1,1,0,0,1,1,1,2,15,3,4,2,5,0,0,1,1,3,2,11,0,0,25,16,0,6,9,1,0,0,2,5,16,0,2,2,17,3,2,1,1,4,1,6,11,12,0,1,0,0,1,0,4,15,22,119,5,1,6,1,14,0,1,0,7,0,2,10,33,0,0,0,20,5,5,0,6,3,1,1,3,5,0,4,0,2,0,0,4,0,10,1,3,3,2,1,1,1,1,1,2,0,1,6,3,0,2,1,2,39,30,0,9,4,1,0,2,1,0,36,0,8,4,3,18,0,0,16,4,4,7,0,0,1,0,0,6,8,0,17,0,0,0,2,0,8,0,2,4,6,19,3,3,0,0,20,50,1,5,1,2,3,8,0,5,1,0,0,4,0,2,14,7,5,43,1,2,6,0,6,43,7,1,1,3,1,2,1,2,1,7,1,0,4,4,0,9,55,0,1,5,10,9,2,2,2,0,7,0,22,10,17,0,8,4,7,3,3,0,0,3,4,1,11,6,0,7
0,5,5,2,1,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,8,4,0,0,0,0,0,3,0,0,1,5,2,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,5,0,0,1,0,0,3,0,0,1,0,0,0,3,0,0,0,4,0,2,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,0,17,1,0,1,0,3,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,7,5,1,4,0,0,1,7,0,0,0,0,0,1,0,0,3,0,1,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,2,1,0,1,1,0,4,1,2,0,0,0,0,1,0,0,6,0,0,0,1,0,3,1,1,1,0,0,4,0,0,3,7,3
0,14,6,2,1,1,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,3,0,5,0,2,0,0,1,0,0,2,4,2,9,4,0,6,4,0,0,0,0,0,2,1,0,1,5,1,6,4,2,0,0,0,4,6,0,1,17,0,2,1,0,0,3,7,0,0,5,0,7,0,8,2,2,2,0,1,0,0,1,2,2,2,0,0,0,6,2,1,0,2,0,6,1,0,2,0,1,1,1,0,4,0,14,2,3,0,0,0,0,1,8,1,2,1,0,2,0,1,0,4,0,0,1,0,2,0,1,2,2,2,1,0,7,1,0,1,0,0,1,0,0,0,0,0,1,0,3,0,7,8,0,0,3,1,1,22,0,0,13,3,4,0,0,0,0,0,5,1,2,0,0,0,6,0,1,1,0,1,0,0,0,1,0,0,0,4,2,1,13,0,2,8,9,0,1,0,4,1,7,1,1,1,14,0,0,0,0,3,2,1,3,0,2,1,3,0,5,3,1,0,0,1,2,0,0,3,2,0,1,0,1,0,2,0,0,4,3,0,0,1,0,0,1,0,1,16,0,1,0,5,0,2,0,1,0,0,3,4,15,6,9,5,11
0,7,6,2,4,1,0,20,0,0,1,1,1,1,3,0,3,6,1,1,0,2,2,3,1,1,5,5,0,0,0,3,0,1,12,4,0,4,6,1,0,7,0,8,0,0,3,0,3,1,18,14,0,0,1,0,3,6,3,0,2,1,0,0,0,2,0,1,0,0,1,1,6,1,21,6,5,4,0,0,0,1,2,2,1,7,0,1,0,0,1,0,0,3,0,18,0,2,11,0,1,3,1,0,9,1,9,2,5,0,0,1,2,5,3,4,2,0,1,2,1,5,1,1,0,11,3,4,4,0,6,0,1,4,1,1,0,0,0,1,0,1,0,3,0,0,0,1,0,1,2,0,4,6,0,0,3,1,0,50,0,0,35,0,3,0,0,0,0,0,7,1,2,4,0,2,3,0,0,9,0,0,0,0,0,0,0,1,0,8,16,5,1,3,0,17,42,5,3,0,5,1,11,1,3,0,3,0,2,0,0,6,1,1,7,0,1,0,2,1,0,4,1,0,1,0,8,0,1,6,0,0,1,1,2,0,5,3,1,2,2,5,6,1,2,2,1,3,0,5,0,1,1,5,0,2,0,1,0,1,0,2,5,3,6,8,1
0,17,9,2,0,0,13,3,0,0,0,1,2,2,12,1,0,7,1,3,0,0,0,6,0,4,1,0,0,0,0,23,5,12,8,2,0,42,8,0,0,0,1,0,1,0,0,0,3,0,8,1,2,0,0,0,0,0,0,8,1,0,11,9,0,6,5,3,0,0,3,1,13,0,6,0,8,2,0,0,0,3,1,2,6,21,0,0,0,0,3,0,1,3,17,71,1,3,6,2,3,4,1,1,3,0,6,5,18,0,0,0,23,1,4,0,0,2,0,0,5,4,0,1,2,1,1,0,2,0,10,1,1,2,0,5,1,0,0,5,0,0,0,11,2,0,0,7,1,27,23,0,3,5,1,2,2,0,0,19,0,5,7,0,9,0,0,6,0,0,3,2,2,0,0,2,4,7,1,7,1,0,0,0,0,3,0,0,3,1,1,7,2,4,1,16,14,1,1,0,0,2,9,0,1,1,0,0,2,0,1,14,2,2,19,0,4,6,0,1,22,4,2,2,1,0,0,0,1,3,6,3,0,2,2,0,3,29,0,0,1,6,8,3,0,0,0,6,0,16,3,6,0,4,2,0,1,3,1,1,1,3,2,5,3,4,2
0,0,3,0,1,0,9,3,0,0,0,0,0,1,3,0,3,0,0,0,0,1,1,6,0,1,3,0,0,0,1,1,0,2,1,2,0,17,1,0,0,0,0,0,0,2,0,2,4,1,4,1,3,0,0,0,1,2,0,4,0,2,9,7,0,0,1,1,0,0,4,1,8,0,3,0,8,2,0,0,0,0,0,1,5,4,0,0,0,0,0,0,1,9,11,35,5,4,3,0,2,1,1,0,1,2,2,7,6,0,0,1,14,0,1,0,6,1,1,1,3,1,0,1,0,1,1,1,1,1,13,0,1,1,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,12,12,1,2,2,0,1,0,1,1,13,1,2,5,1,5,0,0,5,0,0,1,0,0,0,0,0,4,2,0,4,0,0,0,1,0,0,0,0,0,3,3,0,1,2,2,6,11,0,0,0,2,1,8,0,1,0,1,0,1,0,0,1,3,6,10,0,1,0,0,3,26,2,0,1,2,1,0,1,0,0,9,0,1,0,0,0,1,18,0,1,1,7,0,1,0,1,0,5,0,9,3,4,0,4,4,1,0,2,1,0,0,3,1,5,1,1,0
