ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD79B,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLCA2,CLDN4,CLDN5,CLEC14A,CLEC9A,CLECL1,CLIC6,CPA3,CRHBP,CRISPLD2,CSF3,CTH,CTLA4,CTSG,CTTN,CX3CR1,CXCL12,CXCL16,CXCL5,CXCR4,CYP1A1,CYTIP,DAPK3,DERL3,DMKN,DNAAF1,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ELF5,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,GZMK,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LEP,LGALSL,LIF,LILRA4,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MPO,MRC1,MS4A1,MUC6,MYBPC1,MYH11,MYLK,MYO5B,MZB1,NARS,NCAM1,NDUFA4L2,NKG7,NOSTRIN,NPM3,OCIAD2,OPRPN,OXTR,PCLAF,PCOLCE,PDCD1,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PGR,PIGR,PIM1,PLD4,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,REXO4,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,S100A8,SCD,SCGB2A1,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC4A1,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SOX18,SPIB,SQLE,SRPK1,SSTR2,STC1,SVIL,TAC1,TACSTD2,TCEAL7,TCF15,TCF4,TCF7,TCIM,TCL1A,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TIMP4,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,UCP1,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
4,10,6,7,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,1,0,6,0,3,0,2,0,0,0,1,1,0,1,4,0,6,1,0,0,1,24,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,8,1,0,17,3,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0,1,0,2,0,0,0,1,2,1,1,1,3,2,8,0,1,0,0,0,2,0,3,0,12,13,51,0,2,0,3,0,10,0,0,0,2,1,1,6,16,1,0,0,19,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,1,1,20,24,0,9,1,0,0,0,0,0,0,0,0,27,0,10,0,0,6,0,0,9,0,0,3,1,0,0,2,0,0,0,0,0,6,0,7,0,0,0,1,1,4,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,8,6,0,0,0,0,0,4,2,10,1,1,1,0,1,4,1,20,5,1,0,19,0,2,0,1,0,8,9,3,0,0,8,2,0,1,0,2,1,5,1,0,0,0,1,1,0,0,3,0,31,0,0,1,0,8,0,3,0,0,2,0,0,5,0,6,0,1,0,0,1,0,1,1,0,0,0,3,2,2,2,0,0,3
2,9,2,11,0,0,0,7,0,0,0,0,0,0,2,0,17,1,0,0,4,0,3,0,3,0,0,0,0,0,0,1,0,3,5,1,4,0,0,22,0,29,4,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,18,2,6,2,0,15,9,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,9,2,1,1,0,2,0,1,0,0,1,0,0,2,3,13,3,1,0,0,0,0,0,2,3,0,3,33,94,2,0,3,1,0,13,0,1,0,4,0,0,5,21,0,0,0,30,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,2,2,1,0,2,0,0,0,3,2,0,0,2,0,3,4,0,3,3,0,0,3,0,24,28,1,2,0,0,0,0,0,0,0,0,0,1,1,8,0,1,4,0,1,9,0,0,0,2,0,0,0,0,0,0,0,8,4,0,10,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,8,2,0,0,1,0,7,1,0,0,0,0,0,1,0,6,0,2,6,0,0,1,3,3,14,7,0,71,0,3,2,2,0,13,6,1,0,0,5,0,0,0,0,1,0,6,0,0,0,0,3,2,0,0,3,0,40,0,0,1,2,2,0,7,4,1,0,0,0,1,0,14,3,13,0,0,2,2,2,2,1,0,0,4,3,2,3,2,1,3
0,2,5,7,0,0,0,4,0,1,0,0,0,0,0,1,24,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,18,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,1,1,0,0,0,0,0,0,1,0,4,26,46,0,0,2,3,0,10,0,0,0,1,1,0,5,17,0,0,0,19,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24,23,1,3,0,0,1,0,0,1,0,0,0,0,0,8,1,2,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,16,0,0,50,1,0,1,3,0,3,9,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,7,2,0,0,1,0,12,0,0,0,0,2,0,12,3,0,0,0,0,1,0,12,8,6,0,0,3,2,1,3,0,0,0,1,3,0,1,0,0,1
4,2,10,8,0,0,0,1,0,0,1,0,0,1,0,0,33,0,1,0,0,0,4,0,7,0,1,1,0,0,0,0,0,0,0,0,15,0,0,7,0,31,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,13,0,6,0,0,15,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,1,0,1,0,0,0,1,13,5,1,0,0,0,0,0,3,5,1,8,27,112,0,0,5,3,0,23,0,0,0,0,0,0,8,19,0,0,0,16,0,0,0,0,10,0,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,1,3,0,0,0,0,48,21,0,5,1,0,1,0,0,0,0,0,0,0,1,5,2,1,7,0,2,18,0,3,0,0,1,0,0,0,0,0,0,5,7,0,10,0,0,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,1,1,1,2,0,0,1,0,4,1,1,7,13,0,0,79,0,0,2,6,0,3,3,1,1,0,2,0,0,0,0,4,2,7,0,0,0,0,7,2,0,0,0,0,34,0,0,0,0,8,0,7,4,1,1,1,0,4,0,6,1,9,0,0,5,3,2,1,0,0,0,4,4,0,1,1,0,4
6,0,18,5,0,0,0,4,0,0,1,0,1,0,1,0,29,0,0,0,0,1,7,0,0,1,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,34,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,9,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,8,0,1,0,0,0,3,2,8,0,7,27,70,2,0,0,4,0,25,0,0,0,0,0,0,9,26,0,0,1,45,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,39,25,0,7,0,0,0,0,0,0,0,0,0,2,0,9,3,0,7,0,2,29,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1,1,0,0,0,0,0,0,10,1,0,0,0,1,1,1,5,19,0,0,84,0,1,1,5,0,8,17,1,0,1,3,0,0,1,0,2,0,5,0,0,0,0,3,3,0,0,2,0,33,0,0,0,0,11,0,10,3,1,0,0,1,6,0,16,5,12,0,0,2,7,2,2,1,0,0,4,4,0,4,0,1,3
12,4,12,15,0,0,0,2,0,1,1,0,0,0,1,0,38,0,1,0,0,0,7,0,7,0,2,0,2,0,2,1,0,0,0,0,11,0,0,0,0,46,9,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,9,0,0,22,19,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,0,1,0,0,0,0,3,0,1,0,2,15,8,0,2,0,0,0,0,1,5,2,9,58,103,1,0,5,5,1,24,0,0,0,3,1,0,6,46,0,0,2,46,0,0,0,0,0,0,0,2,4,5,2,1,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,6,0,0,0,1,0,1,0,0,1,0,60,57,0,4,0,0,2,0,0,0,3,0,0,0,0,14,1,1,6,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,15,0,12,0,0,0,1,1,3,0,1,6,0,0,1,0,0,0,1,0,1,0,0,0,1,30,1,2,0,0,0,0,0,0,5,1,0,3,0,8,0,4,5,14,0,0,73,0,2,4,8,0,14,10,2,1,0,2,0,0,0,0,4,2,5,0,0,1,0,7,4,0,1,6,0,65,0,0,0,1,9,0,6,2,1,1,0,1,5,0,19,6,14,0,0,9,2,1,0,1,0,0,6,3,1,4,0,2,9
10,3,9,15,0,0,0,12,0,0,0,1,0,0,2,0,80,0,0,0,1,0,22,0,4,0,5,0,0,0,0,0,0,4,0,1,10,1,0,0,0,70,5,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,4,24,19,1,33,0,6,0,0,0,0,0,1,0,2,0,0,0,0,39,0,0,2,0,2,0,0,1,0,2,0,1,1,0,14,10,0,5,0,0,1,0,2,6,1,19,93,172,1,0,7,7,0,46,0,0,0,1,1,0,17,60,0,0,1,68,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,5,4,1,0,4,0,0,0,0,3,2,0,0,0,0,71,79,0,7,0,0,0,1,1,0,1,0,0,2,0,15,0,0,25,0,3,46,0,0,0,1,0,0,0,0,0,0,0,0,13,1,25,0,0,0,1,0,4,0,0,1,0,0,0,2,0,1,0,0,3,0,0,2,0,22,1,0,0,0,0,0,0,3,7,0,0,0,0,8,2,1,11,29,0,0,126,0,1,2,6,0,20,10,1,1,0,10,0,0,1,0,4,2,4,0,0,0,0,13,4,0,0,1,0,87,0,0,0,0,9,0,21,8,3,1,1,0,8,0,26,9,13,0,0,8,5,4,3,1,0,0,8,3,0,1,1,0,4
1,8,3,9,0,0,0,1,0,1,0,0,0,0,1,0,16,0,1,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,4,0,0,4,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,4,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,0,1,1,7,14,49,3,0,1,1,0,17,0,0,0,1,2,0,4,18,0,0,1,16,0,1,0,0,0,1,0,0,2,1,0,3,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,17,19,0,6,0,0,0,0,1,0,1,1,0,14,0,0,1,2,5,0,0,6,0,0,1,0,2,0,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,0,0,4,16,1,0,1,0,0,3,1,3,0,0,0,0,1,0,0,4,17,1,0,24,0,2,2,2,0,2,4,2,0,1,2,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,4,0,18,0,0,2,0,0,0,9,4,0,0,0,0,4,0,6,0,7,0,1,1,1,0,1,2,0,0,5,5,0,2,0,2,1
4,10,12,13,0,0,3,8,0,0,0,0,0,0,0,2,17,0,1,0,1,0,3,0,3,0,0,1,0,0,1,1,1,0,9,0,9,0,0,0,0,29,2,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,10,3,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0,4,1,4,0,0,4,22,0,0,0,0,0,6,1,2,0,14,34,96,1,0,2,1,0,14,2,0,0,1,2,0,8,21,0,1,0,31,0,2,0,0,0,0,0,0,2,3,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,1,0,0,9,3,0,0,2,1,38,27,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,1,12,0,0,9,0,0,1,1,1,0,1,0,0,0,0,7,7,1,6,0,0,0,0,0,2,0,0,5,0,0,0,1,1,5,0,0,0,0,1,1,0,25,6,0,0,0,0,0,0,3,4,2,0,0,0,2,0,2,11,19,1,0,85,0,1,3,2,0,1,7,3,3,2,4,0,0,0,0,5,1,4,0,0,1,0,2,1,0,1,3,0,22,1,0,2,0,2,0,9,3,0,4,2,0,4,0,15,2,6,0,3,0,4,0,0,0,0,0,5,3,0,2,1,0,5
19,18,21,13,1,1,0,10,0,5,1,0,0,0,3,1,63,0,0,0,0,0,9,0,2,0,5,0,0,0,3,2,0,6,2,0,8,1,1,0,0,78,5,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,1,0,2,2,1,1,28,1,0,40,16,1,1,0,13,0,0,0,0,2,0,0,1,0,1,1,0,43,1,1,4,1,2,0,1,1,0,2,1,4,1,6,13,28,1,1,0,0,0,9,2,8,0,17,70,183,5,1,5,8,1,32,0,0,0,4,0,8,21,64,0,0,2,41,0,3,0,0,0,0,0,0,4,6,2,2,1,0,0,3,0,0,0,0,1,0,2,5,1,0,0,3,0,0,0,0,30,13,2,0,6,2,87,57,2,9,1,0,4,0,0,1,0,0,0,6,0,10,9,1,25,0,3,45,0,0,1,1,1,0,0,0,0,0,5,22,15,5,21,2,0,0,1,0,2,0,10,9,1,0,0,1,3,0,3,1,0,1,0,2,0,34,3,2,0,0,0,2,8,0,10,1,0,0,0,2,1,1,22,16,1,1,109,0,0,5,9,0,18,39,5,6,1,14,0,0,1,0,4,5,20,0,0,0,0,14,5,0,0,3,0,86,1,0,1,0,29,0,13,7,1,4,0,0,11,0,25,9,19,1,1,3,6,3,8,3,2,0,13,8,0,3,3,3,5
