ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AGR3,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLDN4,CLEC14A,CLEC9A,CLECL1,CRISPLD2,CTLA4,CTTN,CX3CR1,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DERL3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MRC1,MS4A1,MYH11,MYLK,MYO5B,MZB1,NARS,NKG7,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SOX17,SPIB,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCEAL7,TCF4,TCF7,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
0,9,7,1,0,0,14,3,0,0,1,0,1,0,19,0,3,1,0,4,0,1,1,9,0,0,2,2,1,1,0,1,0,14,0,2,0,52,2,0,0,2,0,1,0,1,0,1,2,0,4,2,1,2,0,0,0,1,0,4,0,0,13,12,0,2,2,0,0,1,0,0,13,0,2,2,8,0,0,6,1,0,0,4,13,7,0,0,0,0,0,0,1,15,9,76,5,5,5,0,9,1,0,0,0,4,0,10,29,0,0,2,30,0,1,0,1,1,3,4,3,2,2,1,0,1,0,0,6,0,2,1,0,7,0,3,0,0,1,1,1,1,0,1,0,0,0,0,2,17,26,0,3,1,0,0,7,0,1,8,1,2,7,0,7,0,0,23,0,0,0,0,0,1,0,0,2,3,3,9,0,0,0,1,1,6,0,1,2,1,1,3,1,3,2,21,6,2,3,0,0,1,5,3,6,2,1,0,3,2,0,8,0,2,55,2,6,3,1,1,41,3,0,1,0,3,7,0,1,2,5,0,0,5,2,1,2,27,0,0,0,7,17,3,3,3,0,8,2,20,3,16,0,4,3,2,2,0,1,3,1,6,0,4,0,3,6
0,9,2,1,3,0,0,7,0,0,0,4,1,2,0,0,0,7,0,0,1,0,0,6,7,0,1,3,1,0,0,8,0,5,5,0,0,2,3,0,0,6,0,2,2,2,0,4,6,2,16,5,4,0,0,6,4,1,1,0,8,0,1,0,0,1,0,7,0,0,4,0,2,1,27,2,12,7,0,0,0,0,0,1,3,3,0,0,3,3,3,0,2,1,1,6,3,0,6,1,0,2,3,0,3,2,10,3,3,0,0,1,3,9,4,0,11,1,0,3,1,2,1,4,7,2,3,1,4,0,6,2,7,6,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,2,4,0,6,8,1,1,3,0,1,13,0,2,21,2,5,1,1,0,1,28,3,1,2,2,0,1,3,1,0,4,2,5,0,0,0,0,1,0,1,4,8,8,10,2,5,9,8,0,0,1,2,1,12,0,3,1,8,2,5,0,0,2,1,6,1,0,6,2,3,0,3,3,3,0,2,0,4,0,1,6,1,1,1,2,1,0,6,0,0,7,2,6,4,0,1,1,0,3,1,18,2,3,0,2,0,3,0,3,0,0,0,5,8,8,2,12,2
0,26,9,2,7,0,0,5,0,0,0,1,1,4,0,1,4,8,1,1,0,1,1,5,0,0,2,0,0,0,0,10,1,2,13,1,2,5,9,0,1,3,0,1,1,4,0,6,2,2,6,8,1,6,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,8,0,36,1,31,6,0,1,0,4,0,1,0,4,0,7,0,0,0,0,0,2,0,11,8,1,6,2,0,1,1,1,6,1,16,4,0,0,0,3,4,0,6,0,2,1,1,0,1,2,3,0,0,7,1,1,7,0,18,2,4,20,2,2,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,6,4,2,0,3,1,0,28,4,1,34,4,5,1,0,0,0,0,6,2,1,0,0,3,1,0,17,3,0,1,0,0,0,2,1,2,1,13,1,7,11,3,2,18,18,1,11,0,2,1,12,1,0,8,0,0,1,0,0,10,1,8,1,0,12,11,2,2,3,2,0,1,0,0,22,1,1,6,5,0,0,3,3,0,6,0,0,5,3,2,19,0,1,2,0,5,4,15,0,13,3,6,0,6,2,0,1,4,1,11,0,4,3,22,3
0,17,17,5,5,1,1,2,1,0,2,0,1,0,4,3,1,1,2,1,0,7,0,4,1,0,2,2,0,2,0,2,1,4,7,16,2,33,3,2,2,4,3,1,4,2,0,4,30,4,17,15,10,0,0,0,1,10,3,6,1,1,10,12,0,1,0,0,0,0,2,7,8,0,12,5,35,8,0,2,1,4,1,14,22,16,1,2,1,0,10,1,3,5,9,38,1,0,9,0,6,1,0,0,9,2,7,11,8,9,2,0,9,1,8,0,3,12,3,1,0,4,0,0,0,2,6,1,11,0,27,0,2,12,2,3,0,0,2,9,3,5,1,20,14,6,3,6,16,42,7,1,7,9,1,1,5,1,1,57,0,3,13,0,4,1,3,0,6,0,6,0,1,0,4,3,21,5,1,8,0,1,0,1,0,0,0,2,3,3,5,7,3,2,6,32,20,0,9,1,7,5,24,0,2,1,1,1,6,1,1,20,5,14,15,3,4,2,7,0,14,10,4,2,1,5,1,2,5,6,3,0,0,1,2,1,2,23,0,4,0,2,6,0,2,1,0,2,1,26,7,8,0,27,2,6,3,5,2,1,5,7,2,17,2,9,3
1,35,52,9,1,2,30,6,0,0,0,0,5,4,60,0,1,6,0,20,2,9,1,17,0,0,0,0,2,3,3,13,0,26,15,8,0,157,3,4,1,3,0,2,7,2,0,2,8,2,9,5,1,0,0,0,2,16,2,27,8,2,49,40,0,1,13,4,0,0,7,1,35,0,20,10,11,0,1,0,7,3,0,8,22,35,6,0,2,1,6,4,7,33,70,204,5,16,9,0,28,2,3,1,14,6,11,26,72,0,0,2,58,2,5,0,4,1,1,2,9,9,0,2,0,8,3,0,4,5,9,4,0,5,6,6,1,4,5,1,5,4,0,22,10,4,4,13,6,90,69,0,16,6,5,1,5,3,1,60,0,26,17,2,36,0,3,39,0,0,15,2,4,1,12,4,55,21,0,30,0,5,0,4,1,13,1,2,5,8,9,8,6,2,2,52,39,2,5,0,4,1,10,6,20,3,0,0,9,3,10,26,21,9,113,0,5,16,0,6,98,9,1,6,5,3,2,2,8,6,18,0,1,8,16,2,18,72,0,6,2,17,27,5,6,2,1,17,0,29,1,24,2,7,17,10,9,9,2,1,10,7,6,12,9,15,10
9,63,43,21,2,1,28,0,3,1,1,4,4,2,57,0,3,12,3,26,0,5,3,20,0,0,0,1,0,4,5,4,1,30,4,6,0,220,9,1,1,2,0,0,4,1,1,1,14,3,5,6,7,0,0,1,2,4,2,35,0,1,61,87,1,4,20,0,0,0,1,0,42,0,21,4,17,5,0,0,2,3,1,12,46,56,1,7,0,0,9,2,12,31,85,362,7,18,15,1,37,2,3,0,6,2,10,38,124,4,0,1,93,1,6,0,4,6,2,1,9,16,4,7,0,4,3,1,9,0,10,2,3,3,11,6,0,1,8,3,4,1,0,29,7,5,0,18,7,124,84,1,13,6,1,1,4,2,2,30,0,24,14,4,32,0,0,69,2,10,4,0,4,1,0,15,31,23,2,44,0,1,0,5,2,6,1,0,2,13,7,4,1,6,4,40,35,5,3,1,14,5,15,4,11,3,1,2,2,0,11,34,28,10,122,4,4,14,2,11,122,13,4,1,6,4,2,3,9,6,18,0,0,9,7,9,19,150,2,5,4,23,50,5,1,8,1,28,0,48,7,32,0,8,23,12,7,7,3,1,9,14,1,17,9,10,16
5,47,49,11,0,0,18,5,2,0,0,2,3,0,45,0,6,3,0,13,0,3,4,12,0,1,0,0,0,6,2,7,0,11,2,2,1,171,5,0,4,0,0,1,0,1,1,0,4,2,14,0,0,0,0,1,1,2,0,20,1,2,38,40,0,4,8,2,0,1,6,0,23,4,3,6,23,7,4,1,2,8,1,8,43,26,1,5,0,0,9,2,14,22,55,213,4,9,17,0,15,3,0,5,8,0,3,34,60,1,0,6,48,3,1,2,7,0,2,4,6,6,0,8,0,0,1,0,5,19,6,0,3,11,7,4,1,0,7,0,0,2,1,19,10,4,5,11,8,137,90,0,20,10,3,2,8,2,0,31,0,13,17,6,26,0,5,41,2,0,1,0,0,0,1,0,27,9,6,24,0,1,0,0,2,3,0,0,1,2,5,5,2,1,5,42,23,2,2,0,1,5,7,1,11,4,2,0,5,2,5,29,13,0,50,6,6,9,10,11,97,10,3,0,4,2,1,2,8,6,14,3,0,8,10,0,16,132,0,11,3,9,23,11,1,1,0,23,1,35,1,27,0,3,16,7,8,5,0,2,8,8,0,6,7,5,12
9,41,21,7,0,0,19,4,0,0,0,2,5,1,33,0,1,9,0,13,1,4,3,8,0,0,3,3,1,0,3,7,0,14,5,14,0,100,12,0,1,4,1,4,1,4,0,3,11,2,5,6,2,0,0,1,0,2,0,13,10,1,44,32,1,11,10,3,0,1,8,2,28,0,13,5,13,1,2,0,3,4,0,17,28,31,0,1,7,1,9,1,10,19,45,226,3,11,12,0,29,1,2,0,6,0,3,39,77,0,0,5,63,4,5,0,5,1,0,2,10,3,0,5,3,1,0,0,10,0,8,1,1,1,9,5,7,0,7,5,4,1,1,4,3,0,1,7,8,57,37,3,13,5,0,0,1,1,2,26,1,7,12,2,34,0,2,54,1,1,7,9,3,1,4,3,24,8,1,28,0,3,2,4,2,18,1,0,5,3,5,9,15,5,5,39,35,0,2,1,3,1,14,2,6,0,7,3,7,0,1,29,12,10,99,2,2,10,0,5,88,14,7,1,3,1,2,8,5,8,10,2,0,10,9,3,17,72,3,5,1,3,16,7,2,4,0,16,0,44,20,18,1,7,7,8,3,10,3,1,8,14,8,17,13,10,7
4,33,25,2,5,0,9,7,0,0,1,1,7,0,19,0,2,15,2,5,1,6,0,16,0,1,6,1,1,2,6,7,1,11,32,8,1,65,10,0,0,5,0,8,5,1,2,4,12,0,16,5,5,1,0,0,2,11,3,12,4,0,15,13,0,1,6,5,1,0,10,0,18,1,27,3,12,8,2,0,1,3,3,7,10,26,3,3,4,2,3,0,3,13,18,78,4,3,11,2,6,4,7,0,6,3,8,10,17,3,1,3,26,6,6,0,9,1,1,1,6,1,2,3,2,4,5,1,9,1,15,1,4,1,3,1,3,0,4,3,1,1,0,6,13,1,2,3,6,49,22,0,15,7,3,2,6,3,4,101,2,6,26,1,19,0,1,17,3,0,22,0,2,2,0,8,21,2,2,12,1,0,0,3,0,3,0,0,1,26,26,9,7,3,4,36,80,1,6,0,25,1,17,0,7,1,0,0,3,1,1,29,12,20,18,3,8,2,3,3,28,8,3,7,5,0,4,0,1,4,9,2,0,8,7,1,8,17,1,9,3,7,13,4,5,1,2,15,0,23,12,10,4,7,4,6,2,16,1,1,3,7,3,3,10,10,6
0,9,15,1,2,1,7,4,0,0,0,0,3,0,3,2,0,10,3,4,0,2,2,8,0,0,1,2,1,1,0,5,0,7,7,7,0,32,5,7,1,5,1,1,7,11,0,6,20,6,8,7,7,1,1,2,3,9,2,8,1,0,6,9,0,2,0,1,0,0,2,8,6,2,11,2,30,12,0,0,0,3,0,2,8,5,3,6,0,1,2,1,1,9,12,82,3,3,8,1,11,1,4,0,8,3,10,9,20,0,1,0,17,0,6,0,7,5,1,1,1,3,0,4,0,5,2,1,15,3,37,1,5,25,0,3,1,0,0,3,7,1,0,0,0,0,0,1,0,15,13,1,7,3,1,1,3,0,1,45,0,1,12,1,14,0,0,5,0,0,5,0,1,1,2,0,1,2,10,20,1,0,0,0,0,3,0,0,4,3,3,6,7,0,8,25,45,1,13,1,19,0,27,2,3,3,0,0,7,1,1,10,1,9,37,0,9,8,9,1,49,9,0,5,3,4,17,0,0,7,5,0,0,5,4,0,5,20,0,6,5,6,22,1,0,2,1,7,0,27,7,12,1,26,1,4,8,5,0,1,3,13,1,8,2,2,3
