ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD79B,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLCA2,CLDN4,CLDN5,CLEC14A,CLEC9A,CLECL1,CLIC6,CPA3,CRHBP,CRISPLD2,CSF3,CTH,CTLA4,CTSG,CTTN,CX3CR1,CXCL12,CXCL16,CXCL5,CXCR4,CYP1A1,CYTIP,DAPK3,DERL3,DMKN,DNAAF1,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ELF5,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,GZMK,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LEP,LGALSL,LIF,LILRA4,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MPO,MRC1,MS4A1,MUC6,MYBPC1,MYH11,MYLK,MYO5B,MZB1,NARS,NCAM1,NDUFA4L2,NKG7,NOSTRIN,NPM3,OCIAD2,OPRPN,OXTR,PCLAF,PCOLCE,PDCD1,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PGR,PIGR,PIM1,PLD4,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,REXO4,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,S100A8,SCD,SCGB2A1,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC4A1,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SOX18,SPIB,SQLE,SRPK1,SSTR2,STC1,SVIL,TAC1,TACSTD2,TCEAL7,TCF15,TCF4,TCF7,TCIM,TCL1A,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TIMP4,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,UCP1,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
4,9,19,23,0,0,0,17,0,0,0,0,0,0,1,2,70,0,0,1,5,0,10,0,8,1,6,1,0,1,0,0,0,3,1,0,16,0,0,0,0,105,11,0,2,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,27,1,1,39,30,1,7,0,7,0,0,0,0,0,0,0,1,0,0,1,0,39,0,1,2,0,2,0,1,0,0,4,0,1,0,2,25,15,0,4,0,1,1,1,3,9,0,14,83,140,4,0,8,7,1,38,0,1,0,2,0,1,28,86,0,0,0,71,0,1,0,0,0,0,0,1,3,1,2,6,0,1,0,0,0,0,0,0,0,1,1,3,4,0,0,3,1,2,0,0,3,2,1,0,2,0,89,73,0,6,1,0,1,0,0,0,0,0,0,5,0,20,2,1,27,0,1,42,0,1,2,0,1,0,0,0,0,1,0,2,9,0,40,0,0,0,0,0,2,0,1,7,0,0,1,2,1,0,2,1,1,0,0,0,0,27,0,1,2,0,0,0,0,2,5,4,0,0,1,3,0,5,27,31,0,0,138,0,0,7,8,0,25,29,3,0,0,8,0,0,0,3,3,5,16,0,0,1,1,13,12,1,1,1,2,73,0,0,0,0,16,0,21,10,0,1,0,0,9,0,24,12,14,2,1,8,6,4,6,2,1,0,5,6,0,3,0,4,15
5,8,22,25,0,0,0,17,0,2,2,0,0,0,0,0,93,0,1,0,1,0,13,0,2,0,8,0,1,3,3,2,0,0,2,0,17,0,0,0,0,67,4,0,2,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,2,4,2,1,29,0,0,58,37,6,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,5,0,1,0,0,1,0,3,0,2,0,5,25,26,0,1,0,0,1,0,2,13,0,25,90,212,3,0,9,8,0,45,0,0,0,4,1,0,36,83,1,0,1,64,0,0,0,0,0,0,0,1,14,2,2,1,0,0,2,6,0,1,0,3,1,2,2,4,3,1,0,0,1,3,0,0,6,2,0,0,2,2,76,86,0,13,1,0,0,0,0,0,1,0,0,4,1,15,4,0,9,1,2,68,0,0,1,1,0,0,0,0,0,0,3,5,14,2,22,0,0,0,2,0,3,0,3,4,0,0,0,0,0,0,1,0,4,0,0,2,0,37,2,0,1,2,0,0,4,2,11,2,0,0,0,2,0,1,18,32,1,0,199,0,0,3,10,0,10,47,2,1,0,9,1,5,0,0,3,4,15,0,0,0,1,9,8,3,2,6,0,77,0,0,0,0,10,0,17,7,0,2,0,0,9,1,34,3,30,0,0,9,7,3,5,2,1,0,6,12,1,13,0,5,11
9,12,21,20,1,0,0,18,0,1,0,1,0,0,4,1,118,0,1,1,0,0,11,0,3,1,6,0,0,0,1,1,0,1,1,0,25,0,0,1,1,119,5,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,24,1,1,44,33,3,18,0,10,0,0,0,0,0,0,0,0,0,2,0,0,45,0,2,3,0,0,0,0,1,0,7,0,4,0,6,22,18,1,5,0,0,0,1,3,12,0,19,93,268,3,0,9,4,1,60,0,0,1,2,0,0,36,97,0,0,4,127,0,0,0,0,0,0,0,1,4,7,2,1,0,0,0,0,0,2,0,2,0,3,8,12,4,1,0,0,0,0,0,1,3,3,0,0,1,0,101,87,0,8,0,0,3,3,0,0,3,3,0,17,0,36,3,3,20,0,2,58,0,0,0,0,1,0,0,0,0,0,0,4,26,3,29,0,0,0,4,0,1,0,0,12,0,0,0,1,1,3,0,0,4,0,0,1,0,36,7,2,0,0,0,0,0,3,12,2,1,0,0,3,0,1,15,50,0,0,225,0,4,10,13,0,10,70,9,2,1,13,0,0,1,0,3,2,20,0,0,1,0,15,9,0,0,8,0,92,0,0,0,0,8,0,36,5,2,1,0,0,17,0,51,6,37,0,0,7,8,2,7,3,0,0,5,7,0,10,0,2,13
19,16,12,22,0,0,0,15,0,1,0,4,0,0,2,1,76,0,1,1,1,2,12,1,6,0,6,0,0,0,0,2,1,4,9,0,24,3,0,0,3,69,7,0,1,3,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,23,4,1,37,26,2,3,0,5,0,4,0,0,0,6,0,4,0,2,0,0,49,1,7,5,1,11,0,0,0,0,6,1,2,2,5,27,23,0,7,1,0,0,1,1,19,3,17,102,223,4,0,6,9,1,45,4,2,0,5,1,2,30,80,1,0,2,74,0,0,0,6,0,2,0,1,8,6,7,3,0,0,1,3,1,0,0,0,1,0,2,5,3,1,0,2,0,0,0,0,16,9,2,0,8,0,99,64,1,14,1,0,5,0,0,0,1,0,0,3,0,18,1,4,17,1,4,45,0,1,6,2,3,0,1,0,1,0,1,13,18,0,30,0,0,0,0,1,8,0,3,10,0,0,1,2,0,2,10,3,3,0,0,3,0,34,13,2,2,1,0,1,2,3,13,0,1,0,0,5,2,4,26,29,2,0,132,0,4,5,12,0,22,21,2,2,0,7,0,1,1,0,5,8,16,0,1,0,0,6,14,0,3,1,0,70,0,0,0,2,23,0,27,6,3,2,0,0,17,0,34,14,15,0,0,10,4,3,3,3,0,0,7,10,1,9,0,5,11
12,20,31,20,1,0,0,17,0,5,0,0,0,1,3,1,84,0,0,1,9,0,13,0,9,0,5,0,0,2,5,0,0,1,3,0,22,8,0,2,0,126,5,0,1,25,0,1,1,1,0,0,2,0,6,6,0,0,0,5,3,4,1,0,28,0,2,66,42,1,8,0,9,0,0,2,1,0,6,0,0,0,1,0,0,50,0,12,9,0,11,0,4,3,0,4,0,3,3,9,24,25,1,7,0,1,1,7,4,9,0,16,102,282,4,0,6,7,0,47,0,5,1,3,28,6,40,85,0,0,3,86,0,1,0,2,2,0,0,3,4,5,1,0,0,1,0,1,0,2,0,0,1,9,3,10,9,0,0,10,1,0,2,0,3,3,1,0,0,0,112,86,0,11,3,0,0,0,0,3,1,0,0,24,0,26,8,6,25,2,1,43,0,0,1,0,4,0,5,0,0,1,1,6,23,3,29,0,0,0,4,1,3,0,1,6,1,0,0,2,1,3,8,1,4,0,1,2,0,51,12,2,3,0,2,2,3,5,16,1,0,0,1,9,2,5,21,43,2,0,256,0,3,8,18,1,17,48,3,9,10,3,0,4,4,0,9,2,17,0,0,0,0,7,8,0,1,6,0,124,0,0,0,0,19,1,34,12,2,3,0,0,15,0,42,11,49,1,2,10,16,5,5,3,2,0,6,12,0,8,2,5,10
10,18,28,20,1,0,0,11,0,2,0,0,0,0,2,0,94,1,0,2,2,1,10,0,9,0,9,0,0,0,2,1,0,2,4,0,15,0,0,1,1,95,8,0,1,4,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,12,1,2,45,34,3,4,1,8,0,1,0,0,0,0,0,0,0,2,0,0,34,0,0,6,1,5,0,0,1,0,1,1,1,0,5,27,38,1,4,1,0,0,0,7,7,0,31,84,204,1,0,18,5,0,40,1,2,2,6,0,1,31,81,2,2,0,92,0,2,0,0,0,0,0,1,6,5,1,0,0,1,1,2,0,0,0,1,0,1,0,5,2,1,0,4,1,0,0,1,26,11,4,0,7,3,99,78,1,7,2,0,2,0,0,0,0,0,0,0,1,19,3,3,11,0,1,55,0,3,1,0,0,0,1,0,0,0,14,12,19,1,29,0,0,0,2,1,4,0,2,6,1,0,0,3,1,1,3,0,4,1,0,5,0,31,3,0,0,0,0,2,3,1,10,1,0,1,0,5,1,2,25,38,1,0,187,2,0,4,6,2,11,52,2,15,1,6,2,0,0,0,3,2,17,0,0,0,1,13,7,0,1,9,0,99,0,0,0,1,19,0,38,6,0,3,0,0,13,0,39,3,23,0,1,8,9,2,8,5,0,0,8,11,1,5,1,2,9
8,13,19,31,1,0,0,22,0,0,0,0,0,0,2,0,91,0,1,0,1,0,20,0,12,1,10,0,1,0,2,0,0,6,3,0,30,0,0,0,0,123,3,0,1,1,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,20,0,2,59,56,4,5,0,16,0,0,0,0,0,0,0,1,0,0,0,0,59,0,0,2,1,2,0,0,2,0,3,1,2,0,14,22,18,1,5,0,0,1,1,2,7,0,18,89,278,1,0,12,12,1,54,1,0,0,1,1,0,26,119,1,0,1,91,0,0,0,1,0,0,0,2,6,8,2,5,0,1,0,0,1,0,0,0,0,0,1,14,6,0,0,5,0,0,2,0,3,3,0,0,0,0,97,97,0,7,0,0,1,1,0,0,1,1,0,3,1,33,11,2,28,0,1,73,0,1,0,0,0,0,0,0,0,0,3,6,28,2,36,0,0,0,0,2,4,0,2,8,0,0,0,3,0,0,1,2,2,0,0,2,1,42,0,2,0,0,0,2,0,6,16,2,0,2,0,12,2,2,24,55,1,0,231,0,3,6,17,0,24,42,6,0,0,6,1,1,4,0,5,5,16,0,0,0,1,15,5,0,5,7,0,139,0,0,0,0,25,0,36,15,1,1,0,0,9,1,34,3,28,1,1,7,5,5,3,2,0,0,7,12,0,3,1,0,5
13,26,20,37,1,0,0,21,0,1,1,0,0,0,3,0,120,0,1,0,1,0,16,1,13,0,12,0,0,0,3,2,0,3,3,0,29,0,0,0,0,132,5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,29,3,1,52,57,1,9,0,7,0,0,0,0,0,0,0,0,1,0,1,0,62,0,1,4,0,0,0,0,0,0,10,0,3,0,9,35,22,0,2,0,0,0,3,3,10,0,25,105,273,1,1,17,12,1,48,1,0,0,10,0,1,28,112,0,0,0,122,0,1,0,0,0,0,0,0,10,5,3,4,0,2,0,0,0,1,0,0,0,1,1,5,5,1,0,6,0,0,0,1,25,6,1,0,6,0,143,121,0,5,0,0,3,0,0,0,0,0,0,5,0,29,7,3,33,0,2,61,0,0,1,0,1,0,1,0,0,0,4,11,23,3,43,0,0,0,2,1,7,0,2,9,0,0,0,4,0,0,1,0,5,0,0,0,1,45,0,2,1,0,0,1,0,1,13,4,0,0,0,2,3,4,28,54,0,0,182,1,3,9,13,0,16,45,1,13,0,11,0,0,4,0,7,1,24,0,0,1,0,10,8,0,3,3,0,153,0,0,0,0,17,0,53,7,3,5,0,0,32,0,49,5,23,0,0,13,8,7,8,6,1,0,11,6,1,4,1,2,12
5,8,18,26,0,0,0,8,0,2,2,0,0,0,1,0,66,0,0,5,3,0,12,1,3,0,6,0,0,1,2,1,0,3,3,0,13,2,0,0,0,98,8,0,2,0,0,4,1,0,1,0,1,0,6,2,0,0,0,0,2,0,0,0,27,4,3,40,28,2,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3,2,0,19,0,1,0,0,0,0,1,3,4,21,18,0,5,2,9,1,2,3,7,3,29,90,239,4,0,6,13,0,57,5,0,0,9,9,3,14,95,1,0,2,72,0,0,0,0,0,0,0,1,5,9,7,5,0,0,0,5,4,0,0,1,0,4,1,8,2,0,0,6,0,0,0,2,0,3,2,0,2,0,99,68,1,13,2,0,1,0,0,3,1,3,0,11,0,16,10,6,37,0,4,49,0,0,2,0,0,0,0,0,0,0,3,6,18,0,41,0,0,0,7,5,3,0,0,5,0,2,0,1,1,7,8,2,2,0,0,2,0,44,7,3,3,1,1,2,4,5,10,4,2,1,0,8,1,5,23,32,2,2,163,0,1,5,12,1,34,22,4,3,1,10,0,0,2,0,5,2,26,0,0,0,0,5,11,0,0,7,0,87,1,0,2,0,17,0,25,6,6,5,0,0,15,0,53,28,24,0,0,11,11,6,7,2,1,0,12,9,2,14,2,5,14
17,10,21,20,0,0,0,16,0,1,0,0,0,0,3,0,58,0,0,0,0,0,15,1,9,1,9,1,1,0,0,2,1,4,0,0,34,2,0,0,0,106,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,1,73,37,4,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,6,0,4,0,0,4,0,1,0,3,0,6,20,19,0,5,0,0,0,2,5,10,0,20,90,271,6,0,3,6,1,55,0,1,0,5,0,1,29,69,0,0,0,91,0,1,0,0,0,0,0,1,4,5,2,6,0,0,1,2,0,1,0,0,0,0,2,8,6,0,0,3,0,0,0,0,1,3,0,2,1,0,119,109,1,18,1,0,5,0,0,0,1,0,0,3,0,27,4,1,26,0,1,54,0,0,0,0,0,0,0,1,0,0,0,0,23,1,32,0,0,0,1,2,9,0,1,8,0,0,0,1,1,0,3,0,0,0,0,0,0,19,2,1,0,0,0,0,4,5,11,2,0,0,0,8,1,2,18,44,1,1,215,0,1,8,14,0,42,36,2,1,1,11,0,0,0,0,8,5,20,0,0,0,0,12,10,0,3,3,0,159,0,0,1,0,14,0,36,7,0,3,0,0,16,0,28,7,33,0,0,13,3,1,3,6,0,0,16,10,2,1,0,0,10
