ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD79B,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLCA2,CLDN4,CLDN5,CLEC14A,CLEC9A,CLECL1,CLIC6,CPA3,CRHBP,CRISPLD2,CSF3,CTH,CTLA4,CTSG,CTTN,CX3CR1,CXCL12,CXCL16,CXCL5,CXCR4,CYP1A1,CYTIP,DAPK3,DERL3,DMKN,DNAAF1,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ELF5,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,GZMK,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LEP,LGALSL,LIF,LILRA4,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MPO,MRC1,MS4A1,MUC6,MYBPC1,MYH11,MYLK,MYO5B,MZB1,NARS,NCAM1,NDUFA4L2,NKG7,NOSTRIN,NPM3,OCIAD2,OPRPN,OXTR,PCLAF,PCOLCE,PDCD1,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PGR,PIGR,PIM1,PLD4,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,REXO4,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,S100A8,SCD,SCGB2A1,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC4A1,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SOX18,SPIB,SQLE,SRPK1,SSTR2,STC1,SVIL,TAC1,TACSTD2,TCEAL7,TCF15,TCF4,TCF7,TCIM,TCL1A,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TIMP4,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,UCP1,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
30,67,43,48,2,1,0,27,0,4,1,0,2,0,7,1,204,0,2,15,11,1,21,0,7,2,15,0,2,0,5,2,1,15,8,0,35,6,1,24,0,223,13,0,9,2,0,0,1,1,0,3,20,9,5,7,1,0,0,0,1,1,3,9,51,3,5,80,45,3,15,0,16,0,1,0,0,0,1,0,2,0,2,0,0,112,0,7,10,0,25,0,2,1,0,4,0,7,2,6,58,77,0,17,0,0,2,8,10,20,0,53,151,456,3,0,25,22,4,117,1,1,2,14,2,2,38,199,1,1,5,171,0,7,0,1,4,0,0,4,14,26,4,11,0,0,2,6,0,0,0,7,2,4,14,20,10,1,2,4,2,0,2,2,49,14,5,0,10,7,258,147,0,21,7,0,7,0,0,2,0,0,0,31,0,40,11,9,44,0,9,112,0,1,2,0,4,0,0,0,0,0,9,30,39,3,72,0,0,1,0,1,15,0,6,12,1,0,1,6,2,2,16,1,6,5,0,1,4,96,15,3,1,0,1,10,8,6,28,3,2,2,0,12,2,5,61,73,9,1,409,0,4,22,27,8,30,46,10,10,2,24,0,2,1,0,12,6,39,0,0,1,2,32,18,4,5,19,0,180,1,0,2,3,62,0,64,16,8,9,1,1,26,0,91,10,55,0,1,23,38,11,21,7,0,0,22,10,4,18,5,14,19
37,74,70,51,6,2,0,19,0,12,2,3,1,4,3,4,208,0,5,11,59,1,31,1,17,0,16,14,3,2,8,5,1,9,26,4,49,23,2,5,0,273,26,1,4,5,0,0,6,2,0,3,9,3,7,19,4,0,0,1,3,4,6,3,55,24,4,89,59,8,16,0,17,0,12,1,0,2,2,0,12,0,2,1,1,134,1,40,10,1,20,0,5,0,0,8,2,8,4,14,58,64,0,18,0,14,4,7,13,36,0,56,203,540,8,4,13,19,1,133,8,16,0,27,14,11,64,226,4,1,5,197,3,9,0,1,9,1,0,5,29,31,5,22,9,1,14,11,0,2,3,9,1,1,19,12,9,3,0,19,10,0,3,0,20,11,6,0,10,4,289,203,0,39,17,0,6,1,1,3,11,4,0,177,2,54,16,12,77,0,21,135,0,0,11,4,2,0,8,0,0,1,4,21,47,7,76,0,0,2,5,2,14,0,3,17,3,0,0,6,19,46,29,13,6,0,0,4,2,139,150,6,7,2,2,7,22,8,29,7,8,0,0,15,1,13,55,106,22,0,418,0,5,21,28,3,59,85,15,17,24,24,1,3,9,0,15,10,43,0,5,0,1,35,28,1,6,35,0,166,1,0,8,3,80,0,73,30,7,11,0,0,31,0,124,43,63,2,12,21,18,11,19,7,2,1,30,26,12,19,12,25,24
29,91,70,45,1,1,0,25,0,6,2,0,0,2,4,3,163,0,1,5,30,0,35,2,14,1,9,33,4,4,9,3,1,5,23,1,55,13,0,6,0,227,22,1,5,2,1,1,5,5,1,3,15,9,14,9,3,2,1,0,2,2,6,3,56,6,3,82,63,7,13,1,25,0,12,0,0,2,1,0,5,0,2,0,0,119,2,23,8,0,38,0,9,4,4,7,1,14,5,19,58,124,2,11,0,19,3,8,10,27,0,70,193,441,10,5,25,24,0,126,7,8,2,16,4,14,55,155,0,0,4,151,0,8,0,3,2,2,0,2,12,20,4,14,5,0,4,5,4,3,1,9,0,6,10,8,11,11,0,10,0,0,1,2,57,19,9,1,26,2,241,159,1,23,15,0,9,1,1,1,8,4,3,74,5,44,18,4,59,0,13,127,0,0,13,3,3,0,0,3,0,0,26,53,46,5,67,0,0,2,6,2,14,0,6,23,1,1,0,6,13,10,8,15,16,0,0,11,1,133,44,9,7,0,6,20,19,9,33,5,11,3,0,28,3,8,60,67,28,0,322,3,5,13,26,5,45,67,10,36,13,24,7,0,8,1,24,12,42,0,14,1,1,26,21,1,2,20,0,194,2,0,10,3,34,0,59,18,6,4,1,4,31,0,107,19,41,3,21,20,22,8,17,6,4,0,23,18,13,24,10,21,25
26,81,49,60,0,1,0,14,0,8,4,0,1,0,9,1,142,0,0,4,27,1,13,0,19,0,17,1,1,2,4,2,1,5,25,0,43,15,0,5,1,138,15,0,9,6,0,0,2,0,0,3,6,1,14,20,2,1,0,0,0,2,6,0,37,14,1,70,42,3,8,1,17,0,1,0,0,1,0,0,5,0,0,2,0,109,1,16,12,1,15,0,5,1,1,4,0,10,1,16,54,54,1,5,0,5,0,4,12,20,0,32,123,444,2,1,15,23,0,117,13,7,0,16,6,11,35,143,3,0,7,102,0,14,0,1,0,0,0,3,12,14,6,14,6,0,6,8,0,0,3,3,1,1,8,12,16,4,1,6,5,0,0,0,35,16,7,0,5,4,232,160,2,26,7,0,5,0,0,0,6,0,1,88,1,26,19,2,49,0,3,109,1,1,7,3,5,0,2,0,0,3,14,28,36,3,61,0,0,0,6,3,7,1,11,20,0,0,1,4,9,22,8,13,9,1,0,3,0,98,65,7,6,2,0,7,10,8,40,2,3,3,1,10,1,5,60,108,23,1,338,0,5,13,20,2,48,40,7,16,4,16,0,1,8,0,8,6,42,0,0,0,1,12,15,0,3,31,0,141,2,0,8,0,35,2,52,16,1,0,1,1,32,1,91,18,46,4,7,17,21,13,12,6,0,0,23,19,6,11,9,17,16
43,99,84,74,0,0,0,59,0,9,0,1,1,1,13,5,232,0,3,11,8,3,41,1,17,0,15,4,4,5,8,3,3,7,24,0,46,2,0,7,2,256,19,0,3,2,0,0,0,1,1,1,3,2,13,39,1,1,1,1,5,6,10,1,86,13,2,111,80,5,13,0,34,1,4,1,0,2,1,0,5,0,1,0,0,132,5,14,21,1,15,0,6,2,0,12,0,7,2,18,77,95,1,9,2,6,2,11,14,27,2,60,225,609,6,2,27,29,3,118,3,1,0,18,10,12,59,216,1,0,4,169,0,11,0,14,1,1,0,9,18,19,3,11,1,1,2,13,1,4,1,5,1,8,9,24,14,10,2,10,2,1,0,0,56,18,11,1,24,21,272,178,2,32,15,0,5,0,2,6,6,0,0,34,1,54,10,9,65,0,10,115,1,6,9,5,7,0,2,0,0,1,28,67,45,3,91,0,0,0,10,3,20,0,8,22,0,1,2,5,15,9,17,7,12,0,0,2,2,111,25,5,4,0,0,16,13,7,29,5,4,1,2,15,3,11,75,103,12,3,447,0,6,18,33,5,46,103,12,45,5,25,2,7,5,0,16,7,45,0,6,1,0,32,17,1,6,21,1,251,1,0,2,0,29,0,77,28,6,5,1,5,29,0,118,22,66,1,1,21,22,16,4,16,2,0,31,31,3,17,8,24,31
16,68,36,25,4,11,0,24,0,5,3,0,2,0,5,1,60,0,2,2,9,0,21,5,4,0,9,3,0,2,4,4,2,4,22,2,35,8,0,6,0,93,8,1,5,5,0,0,4,9,0,1,4,1,19,7,2,3,0,0,1,2,6,3,19,3,0,39,37,1,7,0,13,0,1,0,0,0,0,0,6,0,0,0,0,43,3,20,7,2,16,0,8,8,9,9,0,4,6,3,25,55,2,2,1,3,0,4,3,11,0,38,84,206,20,4,15,26,1,37,7,4,0,27,12,5,22,89,2,1,3,82,2,13,0,2,4,3,0,5,15,9,4,4,1,1,15,3,0,7,1,9,2,1,23,10,9,6,0,8,5,0,3,0,32,2,5,1,7,7,123,58,2,21,6,0,3,0,0,0,3,2,0,110,1,18,8,6,49,0,4,51,0,0,13,0,4,0,2,0,0,1,13,37,24,12,27,0,0,0,4,0,7,0,7,11,0,0,4,4,13,23,18,10,11,1,0,1,0,46,77,6,8,0,2,7,15,10,20,1,3,3,1,13,4,2,32,35,23,1,111,1,6,16,23,0,24,50,7,17,3,10,2,12,2,0,10,8,19,0,0,0,0,10,14,0,1,16,0,86,0,0,9,1,23,0,40,10,1,5,0,0,22,5,63,16,42,8,4,10,12,5,9,5,1,0,15,20,8,13,4,15,19
21,106,47,45,6,3,0,18,0,15,1,7,3,13,9,8,123,0,1,10,98,0,20,5,14,4,19,56,6,4,22,3,4,5,46,4,26,25,0,3,0,175,25,1,8,13,0,4,4,2,1,2,6,1,23,28,0,4,2,1,7,4,4,2,47,50,4,68,58,3,6,0,21,0,50,1,0,1,0,0,4,0,0,4,0,90,0,54,7,0,68,0,13,3,2,6,0,5,8,13,31,57,1,13,2,29,7,5,5,16,1,51,132,408,29,17,15,27,3,86,15,4,0,72,11,18,50,159,1,1,2,125,1,8,0,3,1,0,0,16,12,17,1,14,21,0,5,3,3,8,15,18,2,11,21,14,12,27,0,11,1,1,1,0,7,6,5,1,2,0,149,99,1,14,19,0,5,0,0,4,13,4,8,100,2,31,19,3,58,3,3,96,0,2,16,22,2,0,6,3,0,1,1,15,26,11,69,1,1,1,17,5,6,0,1,12,1,0,1,12,7,10,32,54,17,0,0,6,1,86,95,13,22,0,1,8,37,7,27,11,24,1,0,13,2,2,38,57,24,0,302,0,4,23,34,4,32,78,5,9,4,16,4,18,4,0,10,12,44,3,22,3,0,22,24,0,8,14,0,124,0,0,26,3,50,0,68,15,4,3,4,5,26,0,85,15,60,0,5,16,35,12,14,11,3,0,14,34,67,13,14,37,22
46,66,78,104,5,0,1,67,0,9,3,0,1,0,10,4,338,1,0,7,14,4,47,2,23,3,31,9,3,3,12,6,0,12,11,1,96,22,0,3,3,391,19,0,7,6,0,0,0,0,0,2,4,0,22,43,1,1,0,0,5,9,2,1,89,5,3,178,135,11,17,0,39,0,0,0,2,1,2,0,5,0,1,1,2,193,2,14,20,1,32,0,12,5,2,10,0,14,2,25,91,82,0,12,1,5,3,9,22,49,0,100,301,934,19,1,35,38,2,200,0,3,2,34,7,13,121,332,0,1,8,288,1,7,1,4,4,1,0,11,27,26,8,10,0,2,3,26,3,2,0,4,1,3,20,33,19,4,3,18,4,2,0,0,25,13,7,0,10,2,408,289,3,44,8,0,4,2,0,2,5,4,0,38,0,107,26,14,74,1,14,234,0,19,10,2,10,0,2,1,0,0,15,38,71,9,147,0,0,1,4,5,21,0,9,37,2,0,0,6,5,3,15,9,9,0,0,5,2,169,25,10,11,0,1,3,12,25,38,7,2,4,1,19,5,9,78,180,14,1,754,1,14,52,55,0,92,186,18,11,1,47,1,2,9,0,19,14,91,0,2,0,4,40,32,0,5,27,2,401,4,0,3,0,83,1,112,33,3,8,1,0,74,0,143,28,99,2,4,42,34,19,14,23,0,0,36,52,8,21,2,13,43
23,68,51,54,7,1,0,23,0,11,0,1,2,10,9,5,153,0,2,5,7,0,22,2,13,0,20,8,2,1,12,3,3,2,31,1,41,28,0,10,0,171,17,0,9,9,0,0,2,0,1,1,14,8,26,22,1,1,1,1,2,3,8,3,43,11,1,85,56,2,19,0,13,0,16,0,0,0,1,0,8,0,0,3,0,74,3,21,13,0,29,0,12,2,4,3,0,10,10,18,60,68,4,7,1,15,5,8,8,18,0,58,164,423,11,3,9,27,5,82,11,4,0,14,28,20,43,154,1,2,3,134,2,10,0,5,1,1,0,10,7,25,1,8,3,2,7,8,0,1,4,9,3,13,14,12,15,19,1,7,5,0,0,1,45,12,9,0,18,3,205,131,5,27,12,0,5,0,3,3,6,2,2,72,1,45,32,6,60,0,19,83,0,56,9,6,3,0,0,0,0,0,13,42,23,3,58,1,0,0,10,1,7,0,4,21,0,0,0,6,18,16,12,10,6,2,0,5,1,81,35,7,8,1,2,14,17,8,21,6,3,3,1,14,0,13,55,55,18,3,284,1,2,18,18,4,59,58,5,20,15,21,1,6,10,0,18,8,41,0,6,4,0,23,23,0,4,11,2,189,1,0,8,1,50,0,52,10,4,6,1,1,25,0,96,34,49,1,14,13,20,13,20,4,4,0,23,23,12,28,8,26,19
30,118,63,75,4,3,0,27,0,12,4,2,1,0,5,1,262,0,2,14,34,1,27,0,18,0,28,3,1,4,7,2,0,5,29,2,55,29,0,3,0,303,21,0,5,1,0,2,0,1,1,1,14,0,20,19,0,0,0,0,0,4,6,3,74,9,2,105,65,4,11,0,18,0,10,2,0,0,2,0,14,0,3,0,0,148,1,39,19,0,33,0,11,3,0,11,1,8,5,15,43,79,2,13,0,7,1,10,8,28,3,56,235,689,7,3,15,40,2,153,10,15,0,17,9,15,57,249,3,2,4,181,0,8,1,6,5,2,0,12,24,27,7,13,1,2,9,8,1,3,1,16,6,7,14,17,24,3,0,9,7,0,4,0,53,10,6,0,12,0,340,228,0,27,11,0,6,0,1,5,5,3,7,132,2,53,23,7,75,0,10,133,0,0,33,3,3,0,3,0,1,0,10,57,51,7,94,1,0,0,5,5,15,0,7,13,0,0,0,1,7,42,21,19,9,1,0,2,0,133,66,10,11,0,1,4,16,12,31,5,4,1,1,20,7,5,59,94,8,0,494,0,5,31,27,3,63,89,17,13,9,25,2,4,10,0,9,9,55,0,3,0,0,32,19,0,5,22,0,192,1,0,10,5,47,0,85,22,3,8,0,1,35,0,106,19,72,0,7,26,35,16,19,9,0,0,41,29,15,21,14,25,20
