,x,y,group,foldchange
Loc1,0.908207789994776,0.403324390063062,A,1
Loc2,0.201681931037456,0.57220648182556,A,1
Loc3,0.898389684967697,0.260250953026116,I,1
Loc4,0.944675268605351,0.874087562551722,I,1
Loc5,0.660797792486846,0.993087251903489,A,1
Loc6,0.62911404389888,0.930202217539772,A,1
Loc7,0.0617862704675645,0.986528045032173,A,1
Loc8,0.205974574899301,0.658342666225508,A,1
Loc9,0.176556752528995,0.302385349525139,C,1
Loc10,0.687022846657783,0.867420181864873,E,1
Loc11,0.384103718213737,0.671259561087936,A,1
Loc12,0.769841419998556,0.489199620904401,A,1
Loc13,0.497699242085218,0.6285839099437,E,1
Loc14,0.717618508264422,0.690660070860758,H,1
Loc15,0.991906094830483,0.672291485359892,A,1
Loc16,0.380035179434344,0.882117749424651,B,1
Loc17,0.777445221319795,0.687738198088482,H,1
Loc18,0.934705231105909,0.999863459262997,A,1
Loc19,0.212142521282658,0.25053632655181,C,1
Loc20,0.651673766085878,0.478466552915052,A,1
Loc21,0.125555095961317,0.0151006982196122,A,1
Loc22,0.267220668727532,0.252019782550633,C,1
Loc23,0.386114092543721,0.326658140635118,C,1
Loc24,0.0133903331588954,0.672132012201473,A,1
Loc25,0.382387957070023,0.748441303847358,A,1
Loc26,0.86969084572047,0.342435503611341,D,1
Loc27,0.34034899668768,0.280259827850387,C,1
Loc28,0.482080115471035,0.737378113903105,A,1
Loc29,0.599565825425088,0.62696939567104,E,1
Loc30,0.493541307048872,0.63354170625098,E,1
Loc31,0.186217601411045,0.215981491142884,C,1
Loc32,0.827373318606988,0.905941029312089,A,1
Loc33,0.668466738192365,0.586245939601213,E,1
Loc34,0.79423986072652,0.168583858758211,D,1
Loc35,0.107943625887856,0.683197691803798,F,1
Loc36,0.723710946040228,0.113990662852302,D,1
Loc37,0.411274429643527,0.527885041665286,A,1
Loc38,0.820946294115856,0.941509603289887,I,1
Loc39,0.647060193819925,0.148946444038302,D,1
Loc40,0.78293276228942,0.589121523778886,D,1
Loc41,0.553036311641335,0.878276449628174,E,1
Loc42,0.529719580197707,0.178157206624746,D,1
Loc43,0.789356231689453,0.47083354764618,A,1
Loc44,0.023331202333793,0.141462349332869,A,1
Loc45,0.477230065036565,0.0993826135527343,A,1
Loc46,0.7323137386702,0.290351454168558,G,1
Loc47,0.692731556482613,0.245475998381153,D,1
Loc48,0.477619622135535,0.722559324000031,A,1
Loc49,0.8612094768323,0.53627455397509,A,1
Loc50,0.438097107224166,0.299001172650605,D,1
Loc51,0.244797277031466,0.199700410012156,C,1
Loc52,0.0706790471449494,0.910177063662559,A,1
Loc53,0.0994661601725966,0.0329712047241628,A,1
Loc54,0.31627170718275,0.596324425190687,D,1
Loc55,0.518634263193235,0.15090500889346,D,1
Loc56,0.6620050764177,0.577648263191804,E,1
Loc57,0.406830187188461,0.454476653132588,D,1
Loc58,0.912875924259424,0.493808774044737,A,1
