,Cell,Cell_type,point_x,point_y
C_1,C_1,Invasive_Tumor,40.625279074610674,42.74122857540585
C_2,C_2,Macrophages_1,11.93827475582333,32.22974905752225
C_3,C_3,Invasive_Tumor,32.71198666298543,13.32974784770109
C_4,C_4,Invasive_Tumor,26.817173654803426,2.8485539898407355
C_5,C_5,Prolif_Invasive_Tumor,44.70079768150399,23.667406790513873
C_6,C_6,Invasive_Tumor,32.94521837852052,49.749102008105545
C_7,C_7,Invasive_Tumor,32.52293115014614,47.083971364155865
C_8,C_8,Invasive_Tumor,34.78634738486445,28.22664461155822
C_9,C_9,Invasive_Tumor,34.86146974923009,34.28167028743212
C_10,C_10,Stromal,43.86235354595797,32.00332060127143
C_11,C_11,Invasive_Tumor,34.658662650148855,46.37367529678749
C_12,C_12,Invasive_Tumor,47.763256280656755,39.81941230748956
C_13,C_13,Invasive_Tumor,47.682998119116135,47.534347272794264
C_14,C_14,Endothelial,9.82586091528857,44.15825614630501
C_15,C_15,Invasive_Tumor,32.93431966618507,27.663212147212857
C_16,C_16,Invasive_Tumor,49.366712172525204,20.36764590815046
C_17,C_17,Prolif_Invasive_Tumor,14.311010417528037,17.26296358467153
C_18,C_18,Invasive_Tumor,23.42763330373552,44.2000060816629
C_19,C_19,Invasive_Tumor,23.49152517779175,14.26194822049316
C_20,C_20,Invasive_Tumor,23.65216562885432,22.35499355750171
C_21,C_21,Invasive_Tumor,49.69260057106364,47.886761176049376
C_22,C_22,Invasive_Tumor,23.826829260379018,22.258870971242644
C_23,C_23,Invasive_Tumor,23.463389145112306,22.397535772803096
C_24,C_24,Invasive_Tumor,29.223176026366925,15.687803632803199
C_25,C_25,Invasive_Tumor,23.81257035964507,35.115623082145575
C_26,C_26,Invasive_Tumor,29.225264538087504,46.14979393272483
C_27,C_27,Invasive_Tumor,23.79943704396273,43.846208782405675
C_28,C_28,Invasive_Tumor,32.680592570650305,17.737861299186726
C_29,C_29,Macrophages_1,1.7137739804822583,32.0966444732184
C_30,C_30,Endothelial,18.900120432427777,38.639981006690576
C_31,C_31,Invasive_Tumor,47.02225126663843,33.63510008599551
C_32,C_32,T_Cell_&_Tumor_Hybrid,0.42241817894098643,13.312147477211472
C_33,C_33,Stromal,42.317661706169886,7.484828050812181
C_34,C_34,Invasive_Tumor,32.020336260745744,47.19258019649051
C_35,C_35,Invasive_Tumor,47.879084107661804,25.389850745154362
C_36,C_36,Stromal,31.91310096308735,20.015046356482323
C_37,C_37,Invasive_Tumor,47.925703329784184,24.54255169077474
C_38,C_38,Prolif_Invasive_Tumor,42.777148994857754,24.8142684092713
C_39,C_39,Invasive_Tumor,47.0728243431575,23.87985126916063
C_40,C_40,Invasive_Tumor,47.533478803433525,22.92895740264227
C_41,C_41,Invasive_Tumor,47.56468771399048,21.00420414374286
C_42,C_42,Invasive_Tumor,35.94446099518412,2.614122144839742
C_43,C_43,Stromal,31.450472858428018,21.360224421917927
C_44,C_44,Invasive_Tumor,34.552781975951724,49.1336351184468
C_45,C_45,Stromal,12.842674364257823,29.427873744677534
C_46,C_46,Macrophages_1,3.782535326149689,30.532483072183147
C_47,C_47,Stromal,31.16923571479193,19.415921010673387
C_48,C_48,Invasive_Tumor,47.85747603348069,35.02390007488149
C_49,C_49,Invasive_Tumor,47.29885722694721,27.162289195516916
C_50,C_50,Invasive_Tumor,47.10617757861079,17.83302156695626
C_51,C_51,Stromal,24.768100140216287,11.185546163782135
C_52,C_52,Invasive_Tumor,47.02252467710443,35.3751443374624
C_53,C_53,Endothelial,10.087161313248266,29.928057931492287
C_54,C_54,Invasive_Tumor,47.322833139350024,32.70416074817819
C_55,C_55,Invasive_Tumor,47.03344789323579,32.34871948411946
C_56,C_56,Invasive_Tumor,47.38124838469477,31.252099679530986
C_57,C_57,Invasive_Tumor,35.30915174633364,7.165238016989845
C_58,C_58,Invasive_Tumor,47.83737966536238,18.694836185934925
C_59,C_59,Invasive_Tumor,25.037987171322147,49.28302606829938
C_60,C_60,Invasive_Tumor,33.631119593933164,9.34392400520483
C_61,C_61,Macrophages_1,46.143512196474056,49.23815548901304
C_62,C_62,B_Cells,5.010879264873963,30.85822618886801
C_63,C_63,Stromal,7.613029260799525,9.460349233957487
C_64,C_64,Invasive_Tumor,32.37342106856423,14.31531815942073
C_65,C_65,Invasive_Tumor,32.10805507156044,15.078280171672398
C_66,C_66,Invasive_Tumor,29.000269347982293,4.05282284243757
C_67,C_67,Stromal,44.14191737357772,4.148990058213231
C_68,C_68,Invasive_Tumor,32.166422964793625,18.84742782291045
C_69,C_69,Endothelial,29.329224274601962,0.90144563598335
C_70,C_70,Invasive_Tumor,23.61042937079007,34.59173667913019
C_71,C_71,Stromal,5.667989155724329,17.550993404906034
