Gene,C,Z,Pval,FDR
SFRP4,0.009862831507061182,3.8310575,6.379682749056995e-05,0.0001838355950057213
PTGDS,0.008278101184689012,3.803113,7.144457362954378e-05,0.00020319950162168946
LPL,0.006984581379202637,3.7687209,8.204312868012455e-05,0.00023035186129419588
IGF1,0.009655333362578681,3.714856,0.00010165975863910393,0.0002818162929362501
POSTN,0.016385960604721493,3.5716636,0.00017736041572458325,0.0004855241380460467
ESM1,0.007309084041880703,3.5062602,0.00022722539913482212,0.000614350153216371
EDNRB,0.008468647277819144,3.3901792,0.0003492348031596163,0.0009327124620970241
CYTIP,0.007334235671873547,3.3503957,0.0004034809944129185,0.0010646064792340863
ITGAX,0.010778784352046622,3.297844,0.0004871513572460535,0.0012560479473110121
PTN,0.009440287124430758,3.297639,0.00048750719416180836,0.0012560479473110121
CTTN,0.013660182196911026,3.053013,0.001132780291168943,0.0028846381833255645
SCD,0.011741728145071895,3.0313213,0.0012174300492517965,0.0030645652963924535
ZEB2,0.008380161650885258,3.0132442,0.0012923544010869643,0.0032162001572505136
DSP,0.012661168409001068,2.9932287,0.001380214169985868,0.0033881846772263286
ITGAM,0.008054488340202122,2.990544,0.0013924046618738336,0.0033881846772263286
LYZ,0.008169365787893354,2.949911,0.0015893267978004304,0.003824863392508728
CD83,0.008359495249826113,2.8829713,0.0019697167394247444,0.004688782238413251
SLAMF1,0.006142625762771262,2.8763595,0.0020114564622223463,0.004736655540071977
PCLAF,0.012198128199246027,2.8046153,0.002518833630459769,0.0058683464369222275
PCOLCE,0.009724734036877153,2.786451,0.002664432861469177,0.006142218912228945
ANKRD29,0.008698801228703267,2.7040985,0.003424499546214233,0.007812139589801219
EGFL7,0.011184281121670749,2.6895137,0.003577810669803178,0.008077737491617484
CD8B,0.003917192695111776,2.6204326,0.004390914177171788,0.009812349028577772
APOC1,0.007281784166816043,2.571297,0.005065920778538445,0.0112064308131305
CCND1,0.01085013350142302,2.5547428,0.005313314169671968,0.01163615803158161
HAVCR2,0.007910537514668822,2.518448,0.005893662446194986,0.012779327482343585
TCIM,0.010405905667733818,2.4671946,0.006808817248825723,0.014618931151890524
EIF4EBP1,0.00962150263027829,2.4300587,0.007548188446940061,0.016049060872620133
FCER1G,0.0067568859163930125,2.370615,0.008879259097568362,0.018697670599687223
FAM107B,0.008375744059503993,2.3359218,0.009747659707412403,0.020330833104031585
C6orf132,0.010075778694576964,2.3058212,0.010560313116384773,0.021818005400832695
TUBA4A,0.009539193715989562,2.2732213,0.011506425046465641,0.023550533506317528
CRISPLD2,0.006868200724079885,2.241367,0.012501152844308921,0.02534955993429309
APOBEC3B,0.00714387262382478,2.2165065,0.013328417252806812,0.026779113562978827
TPD52,0.009748880961508785,2.2107759,0.013525681417350362,0.026928402094542996
RAB30,0.007037802038064778,2.1892493,0.014289363413342866,0.028192527815514304
S100A14,0.00880368808831228,2.158159,0.015457735254685112,0.030016624662531327
MRC1,0.005145778739737247,2.15738,0.015488030077013881,0.030016624662531327
FSTL3,0.007868555571792417,2.1307228,0.016555994398761677,0.031804936608147434
SH3YL1,0.00883866230684921,2.0164042,0.021878865857730006,0.041336933295274936
NARS,0.00891175206962433,2.0160885,0.021895361928090832,0.041336933295274936
SERHL2,0.008865495861900977,2.0118394,0.022118435114619858,0.04140117341967307
STC1,0.008417622962178956,1.9839956,0.023628167626812323,0.04385227720569406
SNAI1,0.006154567393707021,1.9623154,0.02486288534514911,0.04575606630745928
RUNX1,0.007388952569822404,1.9539212,0.02535526856009893,0.04627336512218055
ELF3,0.00854120267278668,1.8996326,0.028740677246395178,0.052018250553392924
LARS,0.007737710992383212,1.811979,0.03499471641093057,0.06281838437699833
SRPK1,0.007681404086063048,1.7976971,0.03611251321817015,0.06429788938844928
LRRC15,0.0058488148094940125,1.774117,0.03802190027017123,0.06715158192877016
SELL,0.0038678951450603983,1.7599208,0.03921061503371607,0.06869699753907055
TYROBP,0.004953659781683966,1.7260393,0.04217017222826211,0.07329577553959843
FBLN1,0.00590200375480797,1.7072282,0.04388982424224305,0.07568402763032463
FBLIM1,0.0056355635295415275,1.6805918,0.04642111272409869,0.07942362255138762
KLRB1,0.002778145343723992,1.6732627,0.04713779445969168,0.08002462780366261
CD4,0.004742361103230085,1.6293375,0.05162079066897388,0.0869611781269637
TENT5C,0.006054950583680342,1.6019118,0.05458755923267723,0.09125706467142224
ENAH,0.006654630767417138,1.5833526,0.056670564017291786,0.0940216175741432
PELI1,0.006054728236890853,1.5610822,0.059252173490619425,0.09756560898079439
GJB2,0.005226040946175274,1.5080137,0.06577550712175882,0.10749877656466554
BASP1,0.005553429758021012,1.4598626,0.07216392128922905,0.11706591675808267
PDK4,0.004402469921846957,1.4317927,0.07610157337596718,0.12254591595100597
DPT,0.004475387455139509,1.4275647,0.07670858926559689,0.12262175948296145
DUSP5,0.005143436228274502,1.4082233,0.07953248371904542,0.12621459372805036
KLF5,0.0065355161338964025,1.4011029,0.0805916521929913,0.12697533690838197
SLC5A6,0.005875703162815102,1.3609608,0.08676303236451505,0.13572217205591997
HMGA1,0.005772452290603268,1.3333062,0.09121567103681272,0.14167540395079423
QARS,0.00552962797212948,1.3058672,0.09579886209499866,0.14745589630013803
MDM2,0.005792132146187867,1.3030199,0.09628398708182528,0.14745589630013803
LYPD3,0.005783218918740241,1.2900436,0.0985177615147354,0.14982909563699343
FAM49A,0.0037893845585655617,1.2691242,0.10219839404263203,0.15435481582990632
VOPP1,0.005102983078075609,1.203456,0.11439994568631467,0.1715315242579869
CDC42EP1,0.004518740612756415,1.1991055,0.1152434626541558,0.1715315242579869
AIF1,0.0033113233866576474,1.1956282,0.1159208474437537,0.1715315242579869
JUP,0.0049175920092158695,1.1463135,0.12583271956911884,0.18494876231971158
LGALSL,0.004432874401700124,1.1280028,0.1296593761745512,0.18930268921484475
TRAF4,0.005177241524297188,1.1194632,0.13147128980636602,0.1898346365998061
C1QA,0.0031380795667158754,1.1181223,0.13175737334781062,0.1898346365998061
MYO5B,0.004715966512497901,1.1139505,0.13265021340563066,0.1898718740904125
TFAP2A,0.0046154850814654836,1.0544384,0.14584113546400324,0.2073974588741345
HDC,0.004364054125947903,1.0360892,0.15008026933653146,0.21204889667548638
TUBB2B,0.003895946068806646,1.0220839,0.15337060135358366,0.21530872882330016
ADAM9,0.00434251096300548,1.010788,0.15605896252225832,0.2163198183168227
AR,0.004596418246127782,1.0107571,0.15606635294090404,0.2163198183168227
ESR1,0.003916459720215117,0.9674355,0.166663190498328,0.22955496049769705
DMKN,0.00407642760932035,0.90057474,0.1839072340678376,0.25172302663035273
CCL8,0.0023257025406437067,0.8778366,0.19001620364700522,0.258469245954622
CD86,0.002454134330698319,0.8220825,0.20551496677224224,0.2778257884143275
CD68,0.0025104018150299426,0.8174429,0.20683768566750865,0.277898485651438
C1QC,0.0024800228493828693,0.79392654,0.2136190999102015,0.28525965170935447
MMP1,0.0018698896259326432,0.715512,0.23714637117128512,0.31475791082734206
AKR1C1,0.002321581492433112,0.6778171,0.2489438317533742,0.32842589851800574
SDC4,0.0026554495444723633,0.6321177,0.26365498875774085,0.3457511529218278
DAPK3,0.0023474730540740695,0.61126137,0.27051328104924466,0.3520939867769869
RHOH,0.0024654926513551097,0.6076578,0.27170723180507206,0.3520939867769869
SVIL,0.002280597806774652,0.57104367,0.28398502043376606,0.36583952632349864
SEC11C,0.002197323451506418,0.55915534,0.28802785299729555,0.3688777766456592
NPM3,0.001993473519029041,0.5400527,0.2945803404404305,0.3741491852851182
TRIB1,0.0019880784189461684,0.5372115,0.29556077193755914,0.3741491852851182
CCDC6,0.0023155444618731306,0.5265847,0.299241014828734,0.37663093245685486
LAG3,0.0017709324620540493,0.48114407,0.31520705394763504,0.39445911322589755
HPX,0.0020412257885210157,0.4758795,0.31708011727233465,0.39454855501500735
PDE4A,0.0014846848152855294,0.4613244,0.3222829430868043,0.398756861785368
TMEM147,0.0018638190375485793,0.43372694,0.3322433718088531,0.40877133947269007
DST,0.0018717432954788817,0.4192917,0.33750147907577144,0.41292080400890474
DSC2,0.0013979320300113506,0.35711503,0.3605028464235026,0.4386117964819282
BACE2,0.0013246357140426419,0.35107738,0.3627651494975679,0.4389257886186042
CLDN4,0.0014660882684758866,0.33128306,0.3702153418455328,0.4454789003525917
KRT15,0.0011827226018379913,0.31722227,0.37553747743717725,0.44941370250678586
ACTG2,0.001250327755532789,0.31031987,0.3781588609357356,0.4500912529615549
OXTR,0.0011604378898125891,0.30101648,0.3817009639971273,0.45185141143443713
HOOK2,0.001160066635549199,0.27725238,0.39079316248721907,0.45908626541849196
SERPINA3,0.0008656861792709177,0.27409667,0.39200516727515067,0.45908626541849196
CCPG1,0.0008345019095291626,0.22834234,0.4096900558833738,0.47724533105563227
SMAP2,0.0005202962125649132,0.1699597,0.43252091740701337,0.5011750312811425
TOMM7,0.0005037587608496559,0.11480079,0.45430151204369185,0.5236422691450975
FLNB,0.0003709730344791525,0.09172646,0.46345768715927577,0.5313991282088031
SMS,0.00024082770875472967,0.058544468,0.4766574713819302,0.5436874282950142
RAPGEF3,0.00014809146178283272,0.039644662,0.4841882100248139,0.5494156372820427
PTRHD1,3.3879642974801845e-05,0.008078626,0.4967771294350048,0.5586511208662615
SQLE,2.7182416915201467e-05,0.006444385,0.49742908022338345,0.5586511208662615
DNTTIP1,-8.893617474541907e-05,-0.022210754,0.5088600805530817,0.5685732532710455
THAP2,-0.0009776490899311065,-0.26086318,0.6029009918769739,0.670230036655113
DUSP2,-0.001759237854966424,-0.55075645,0.7090996806395949,0.7843072225256126
WARS,-0.0024302714020167466,-0.6033898,0.7268752967929228,0.7999280904404528
ANKRD28,-0.0026797634138237855,-0.65772384,0.7446422010511528,0.8153832101510123
USP53,-0.002816517428546186,-0.67143726,0.7490289934975721,0.8161062167958621
CXCL16,-0.0025264951089949334,-0.75456995,0.7747464694533361,0.8399479050013893
TRAPPC3,-0.003309686106008983,-0.8034118,0.7891316162597994,0.8513291820733797
IGSF6,-0.002930767659009616,-0.9335503,0.8247320433030128,0.8853741053105872
MNDA,-0.0036058100086185174,-1.1253743,0.8697847752311534,0.929184711100598
TIFA,-0.004349673817650994,-1.1621232,0.8774072882350918,0.9295379414944906
OCIAD2,-0.004664170241382368,-1.1680384,0.878604355659176,0.9295379414944906
MZB1,-0.004711276299076329,-1.215205,0.8878560343054767,0.9348099591966317
CD163,-0.003699800159927515,-1.2646905,0.8970088549105313,0.9376403375769535
MAP3K8,-0.004333616383780232,-1.2764807,0.8991071730189965,0.9376403375769535
MEDAG,-0.0035429078594640144,-1.3473365,0.9110640640817782,0.945606777411893
SEC24A,-0.0065284920142627935,-1.5075538,0.9341656197283679,0.965010710945814
ZNF562,-0.007055530266152706,-1.5746208,0.942328005560024,0.9684762105281987
CEACAM6,-0.006627301735591135,-1.6105849,0.9463648815207055,0.9684762105281987
RORC,-0.006914096561824485,-1.7601672,0.9608102727176577,0.9786858126751955
SLC25A37,-0.007588857409879259,-1.8892065,0.9705679198653929,0.981542539763886
POLR2J3,-0.008508300055907528,-1.9201208,0.9725786809532568,0.981542539763886
KARS,-0.010480356820932847,-2.4247632,0.992340812604971,0.9945527899149871
C2orf42,-0.009549423838178465,-2.5460672,0.9945527899149871,0.9945527899149871
