,state,row,col,state_rank,fitted_celltype
0,0,0.3528104691935328,1.9565673768551666,3,Prolif_Invasive_Tumor
1,6,0.08003144167344467,3.0272062434748754,1,Invasive_Tumor
2,6,0.19574759682114784,3.83233776886026,1,Invasive_Tumor
3,6,0.4481786398402916,7.112289981910226,1,Invasive_Tumor
4,0,0.3735115980299935,8.748080766240056,3,Prolif_Invasive_Tumor
5,6,-0.1954555759752822,10.933448247084955,1,Invasive_Tumor
6,6,0.19001768350511788,12.959198425504699,1,Invasive_Tumor
7,6,-0.03027144165953958,13.861796037364927,1,Invasive_Tumor
8,6,-0.02064377035871157,15.558898928996035,1,Invasive_Tumor
9,8,0.08211970038767447,20.08957393282225,4,Endothelial
10,8,0.028808714232175597,22.848849847911946,4,Endothelial
11,6,0.290854701392595,29.265141591864875,1,Invasive_Tumor
12,6,0.1522075450293987,31.93160354446319,1,Invasive_Tumor
13,6,0.024335003298565683,35.891728082313755,1,Invasive_Tumor
14,6,0.08877264654908514,39.01830438935578,1,Invasive_Tumor
15,6,0.06673486547485337,41.210687949726086,1,Invasive_Tumor
16,6,0.29881581463152124,42.88731846737637,1,Invasive_Tumor
17,6,-0.041031652753160175,44.20294753896596,1,Invasive_Tumor
18,3,0.06261354033018028,60.288060728203526,2,Stromal
19,3,-0.17081914786034497,85.1980645621312,2,Stromal
20,3,-0.5105979631668157,90.32528629819845,2,Stromal
21,7,0.13072371908807212,97.25852920420249,7,T_Cell_&_Tumor_Hybrid
22,6,1.1728872397719012,0.3029764587786012,1,Invasive_Tumor
23,6,0.8515669959187117,1.3208652638831282,1,Invasive_Tumor
24,7,1.4539509247975215,2.041613905925993,7,T_Cell_&_Tumor_Hybrid
25,6,0.709126865080247,3.9141552200855605,1,Invasive_Tumor
26,6,1.0091517034602893,5.547551272951239,1,Invasive_Tumor
27,6,0.9625632299948332,6.7354533760956405,1,Invasive_Tumor
28,7,1.3065558428716915,10.91034344016824,7,T_Cell_&_Tumor_Hybrid
29,6,1.293871753980057,12.923652982551888,1,Invasive_Tumor
30,6,1.0309894851393833,13.969441107319582,1,Invasive_Tumor
31,6,1.0756325039204346,14.79984790195025,1,Invasive_Tumor
32,6,0.8224428504739775,17.680844477711737,1,Invasive_Tumor
33,8,0.6038407063552146,18.973955366706655,4,Endothelial
34,8,0.9304175701347694,23.96211641423764,4,Endothelial
35,6,1.031269793820796,30.838489191690027,1,Invasive_Tumor
36,7,1.2460581361455443,32.85156956766992,7,T_Cell_&_Tumor_Hybrid
37,6,1.2404759697568823,33.811968681625515,1,Invasive_Tumor
38,7,0.9225346365184095,36.92069525219674,7,T_Cell_&_Tumor_Hybrid
39,6,0.9395394498849329,38.82873943460095,1,Invasive_Tumor
40,6,0.7902894069865815,40.2519750663034,1,Invasive_Tumor
41,3,0.7159964125642049,47.04819934640902,2,Stromal
42,4,0.6587459618749975,48.805536416394695,6,CD8+_T_Cells
43,7,1.390155079046358,49.94391044370651,7,T_Cell_&_Tumor_Hybrid
44,3,0.8980695636496693,50.763942878729765,2,Stromal
45,3,0.9123851396777627,53.20243365903496,2,Stromal
46,3,0.7494409279900147,58.27683734491617,2,Stromal
47,3,1.155498071166382,59.2504003965506,2,Stromal
48,6,0.6772204304884097,63.77106147375148,1,Invasive_Tumor
49,6,0.9574519439572062,64.98174659605476,1,Invasive_Tumor
50,6,0.8209066877612649,65.91968586489742,1,Invasive_Tumor
51,0,1.0773804995718523,73.11240262118284,3,Prolif_Invasive_Tumor
52,6,0.8978389724862254,77.79841803934322,1,Invasive_Tumor
53,7,0.7638735631755176,90.8648216611998,7,T_Cell_&_Tumor_Hybrid
54,6,1.994363554332269,-0.08264340567036162,1,Invasive_Tumor
55,6,2.0856663741060837,1.0306576938264849,1,Invasive_Tumor
56,6,2.013303444476634,6.138825741627577,1,Invasive_Tumor
57,6,2.0604943795479564,7.934254461452679,1,Invasive_Tumor
58,6,1.8731355812638073,9.132793015105245,1,Invasive_Tumor
59,6,1.9274517668025724,11.164415271359427,1,Invasive_Tumor
60,6,1.8655079104448098,11.957356952625636,1,Invasive_Tumor
61,6,1.9280893676918918,14.750868373426881,1,Invasive_Tumor
62,6,1.837370743591109,19.765761932913172,1,Invasive_Tumor
63,8,1.6547434795336646,21.118345395030314,4,Endothelial
64,8,2.0354852284507507,25.904755112737067,4,Endothelial
65,1,1.9196438127583475,27.65747413546351,5,Macrophages_1
66,7,1.673960330606791,32.1225904736366,7,T_Cell_&_Tumor_Hybrid
67,6,2.0925564511051546,33.025910904109246,1,Invasive_Tumor
68,6,1.8185403271233516,34.718806583771475,1,Invasive_Tumor
