"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",0.0932365227132151,0.925715659818951
"ANKRD28","B_Cells",0.0667513207264584,0.946779677353703
"BASP1","B_Cells",0.281483244996953,0.778339777348714
"C2orf42","B_Cells",0.155403490943377,0.876503232226153
"CCPG1","B_Cells",0.733780647975415,0.463082436815471
"CLDN4","B_Cells",0.0667056091750383,0.946816068784728
"CXCR4","B_Cells",1.92570201063411,0.0541415926973633
"CYTIP","B_Cells",1.03005692719025,0.302983283169962
"DAPK3","B_Cells",0.00538410262051241,0.995704128400514
"DUSP5","B_Cells",0.152011048565199,0.879178221429721
"ERN1","B_Cells",0.759636427333186,0.447471938573306
"ESR1","B_Cells",0.0614897654023061,0.950969165009577
"FAM49A","B_Cells",0.074700913768116,0.9404526806248
"GLIPR1","B_Cells",0.262489541351704,0.792944047555166
"HDC","B_Cells",0.072785235509407,0.941977020148097
"HMGA1","B_Cells",0.0605568203779492,0.951712162721854
"ITGAM","B_Cells",0.0745371765036819,0.940582960854344
"ITM2C","B_Cells",1.30156849389616,0.193063935913062
"KARS","B_Cells",0.0836162394300637,0.933361554955685
"LDHB","B_Cells",0.248677299525223,0.80361040968031
"LGALSL","B_Cells",0.0603930370044585,0.951842604202115
"LPXN","B_Cells",0.266803277046444,0.789620630973684
"MAP3K8","B_Cells",0.273529663396462,0.784446093325028
"MDM2","B_Cells",0.531928085674703,0.594775804283391
"MRC1","B_Cells",0.00482368275754786,0.996151272926857
"MZB1","B_Cells",1.46248300771186,0.143608897422385
"NPM3","B_Cells",0.0839665577137473,0.933083020918991
"OCIAD2","B_Cells",0.0830541381429179,0.933808492256137
"PDE4A","B_Cells",0.0651075345104863,0.948088381491426
"PELI1","B_Cells",0.439281331708963,0.660457699295425
"PIM1","B_Cells",0.923497622112122,0.355747939001748
"PRDM1","B_Cells",0.283649376868913,0.776679093230523
"RAB30","B_Cells",0.184163078872143,0.853885522828852
"RAPGEF3","B_Cells",0.0495837753149621,0.960454076150381
"RUNX1","B_Cells",1.51599926081437,0.129519539316883
"SEC11C","B_Cells",1.60175064299884,0.109210761435844
"SEC24A","B_Cells",0.306052521453138,0.759564656780937
"SELL","B_Cells",0.316819768674099,0.751380363117322
"SLAMF7","B_Cells",0.970540338890133,0.331777227924613
"SLC25A37","B_Cells",0.0537731036130656,0.957115938713366
"SMAP2","B_Cells",0.066005941267613,0.947373095324837
"SQLE","B_Cells",0.651075877005585,0.51499750761739
"TENT5C","B_Cells",0.714135445768329,0.47514342966848
"THAP2","B_Cells",0.0696635210015489,0.944461477235983
"TIFA","B_Cells",0.0543783988239943,0.956633688627582
"TMEM147","B_Cells",0.0845905618700693,0.93258690271018
"TOMM7","B_Cells",0.262690691326145,0.792788992130342
"TPD52","B_Cells",1.76177497953981,0.0781073237124988
"TRAPPC3","B_Cells",0.0854514124762326,0.931902521347562
"TRIB1","B_Cells",0.141480503551263,0.887490361024033
"TUBA4A","B_Cells",0.0873791276237849,0.93037015965615
"TUBB2B","B_Cells",0.0722881472608779,0.942372597134473
"VOPP1","B_Cells",0.540151190757376,0.589092770098407
"WARS","B_Cells",1.55863744272683,0.119082215707469
"ACTG2","CD4+_T_Cells",0.00465338110675984,0.996287152459029
"ADGRE5","CD4+_T_Cells",0.0597626940065427,0.952344638313458
"ANKRD28","CD4+_T_Cells",0.26029717535728,0.794634551269394
"APOBEC3B","CD4+_T_Cells",0.00409553471849329,0.996732245215113
"BACE2","CD4+_T_Cells",0.0632521970514689,0.949565680719845
"CD247","CD4+_T_Cells",1.72972903432748,0.083678698724269
"CD3D","CD4+_T_Cells",1.29135026357702,0.196582248725351
"CD3E","CD4+_T_Cells",0.0550147977294614,0.956126674763686
"CD3G","CD4+_T_Cells",0.0676051129418256,0.94609998517496
"CD4","CD4+_T_Cells",3.02654435508002,0.00247366525729237
"CD69","CD4+_T_Cells",0.968542334938758,0.332773586663415
"CTLA4","CD4+_T_Cells",0.0712833468992639,0.943172248759704
"CTTN","CD4+_T_Cells",0.00463642604436654,0.996300680495604
"CXCR4","CD4+_T_Cells",0.361491573704914,0.717732002944342
"CYTIP","CD4+_T_Cells",0.0587730774334408,0.953132852476754
"DSC2","CD4+_T_Cells",0.0346621204914725,0.972349166233095
"EGFL7","CD4+_T_Cells",0.010085171941789,0.991953333420175
"ESM1","CD4+_T_Cells",0.0551349156646669,0.956030979760827
"FBLIM1","CD4+_T_Cells",0.0534406514346966,0.957380816309899
"GLIPR1","CD4+_T_Cells",0.0706928041287905,0.943642247983603
"HDC","CD4+_T_Cells",0.0674769861740447,0.94620198263354
"HMGA1","CD4+_T_Cells",1.21453216144611,0.224544576210214
"IGF1","CD4+_T_Cells",0.00434544523907766,0.996532847245576
"IL2RG","CD4+_T_Cells",0.0723857596267898,0.942294917236166
"IL7R","CD4+_T_Cells",1.00127126795026,0.316695679663106
"KLRB1","CD4+_T_Cells",0.473212623467141,0.636061492556405
"LDHB","CD4+_T_Cells",0.0703666203988944,0.943901858432508
"LPXN","CD4+_T_Cells",0.0597906766289516,0.95232235126528
"MDM2","CD4+_T_Cells",0.0493963682282925,0.960603422364774
"MMP2","CD4+_T_Cells",0.0811828449356597,0.935296542237754
"MYLK","CD4+_T_Cells",0.058494885029418,0.953354436675574
"NARS","CD4+_T_Cells",0.0708712098021511,0.943500256991348
"PCLAF","CD4+_T_Cells",0.00333211961872632,0.997341358121297
"POLR2J3","CD4+_T_Cells",0.156630608823842,0.875535977926884
"PTPRC","CD4+_T_Cells",0.0634711487466392,0.949391332871845
"RHOH","CD4+_T_Cells",0.055008964832221,0.95613132170548
"S100A4","CD4+_T_Cells",1.20814401612472,0.226991871468551
"SELL","CD4+_T_Cells",0.0741781803930474,0.940868607534887
