state,row,col,state_rank,fitted_celltype
4,0.32486907273264837,13.845792297334357,1,Invasive_Tumor
4,-0.12235128273001508,20.891150817845293,1,Invasive_Tumor
4,-0.10563435045269116,29.791807430535243,1,Invasive_Tumor
8,-0.21459372443123412,33.593566535252066,5,Macrophages_1
6,0.17308152586493572,41.163197830762435,6,CD8+_T_Cells
7,-0.46030773937605657,44.96927053501172,2,Stromal
5,0.348962352843296,48.8323099418735,7,T_Cell_&_Tumor_Hybrid
3,-0.15224138017902056,56.73883340931363,3,Prolif_Invasive_Tumor
7,0.06380781921141972,66.88743419111289,2,Stromal
2,-0.04987407509548202,76.74970011929199,4,Endothelial
4,0.2924215874089948,103.25971432435479,1,Invasive_Tumor
4,-0.41202814189953085,103.62074441391512,1,Invasive_Tumor
3,-0.0644834408027015,115.80835743684554,3,Prolif_Invasive_Tumor
4,-0.07681087093368313,118.82339565392662,1,Invasive_Tumor
4,0.2267538884670875,120.09503547855383,1,Invasive_Tumor
4,-0.2199782534628062,121.05075496150221,1,Invasive_Tumor
6,-0.03448564151008715,125.97104137710468,6,CD8+_T_Cells
2,0.8244283164157257,-0.0344449977674287,4,Endothelial
4,1.0084427493431185,5.07961435757615,1,Invasive_Tumor
4,1.1165630427431645,16.840912213051602,1,Invasive_Tumor
4,0.7798761645574157,19.096732946672986,1,Invasive_Tumor
4,1.228944741967923,24.735447516046843,1,Invasive_Tumor
8,1.180318144118559,26.108061103254045,5,Macrophages_1
7,1.1004988677803738,33.89854855946247,2,Stromal
3,1.1801711898528824,36.22567570844729,3,Prolif_Invasive_Tumor
7,0.8632544281651334,48.755329885681455,2,Stromal
7,0.9754219548962704,60.90929937621726,2,Stromal
6,0.8128461131481862,73.83581892571264,6,CD8+_T_Cells
3,0.9464223840747968,90.1880437810237,3,Prolif_Invasive_Tumor
4,1.1060710933476372,92.71774130663222,1,Invasive_Tumor
7,0.8616678496549381,101.17682955902308,2,Stromal
4,0.9206492946288045,115.09264344457532,1,Invasive_Tumor
2,0.8625654599760801,117.11319464108652,4,Endothelial
8,0.8309588717002561,145.8623681385548,5,Macrophages_1
8,1.8657507738326362,8.095068103456285,5,Macrophages_1
6,1.9974670802162198,11.350144360969793,6,CD8+_T_Cells
4,1.7765379302729445,12.861738292323489,1,Invasive_Tumor
4,2.0468831395634184,15.050637909623472,1,Invasive_Tumor
4,2.331960435421974,19.947383749412502,1,Invasive_Tumor
4,2.148408832115467,22.77993072077086,1,Invasive_Tumor
4,1.9616328895276771,29.835034481208737,1,Invasive_Tumor
7,1.8224742071830327,42.104970189050015,2,Stromal
