ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AGR3,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLDN4,CLEC14A,CLEC9A,CLECL1,CRISPLD2,CTLA4,CTTN,CX3CR1,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DERL3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MRC1,MS4A1,MYH11,MYLK,MYO5B,MZB1,NARS,NKG7,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SOX17,SPIB,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCEAL7,TCF4,TCF7,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
4,14,10,6,1,0,14,3,3,1,1,0,2,1,25,0,1,3,2,5,0,1,0,7,0,2,2,2,2,0,3,1,0,8,2,3,0,65,6,0,3,1,2,0,5,0,0,1,7,4,6,2,9,0,0,3,4,5,2,9,0,2,15,19,2,4,7,0,0,0,1,1,16,0,6,2,8,8,0,1,3,3,0,4,17,13,1,4,0,1,1,0,5,6,28,134,5,7,5,1,20,2,1,0,1,0,2,19,26,1,2,0,32,1,4,0,7,3,0,1,2,3,0,3,1,0,5,1,1,1,13,0,2,1,3,3,0,0,4,1,0,0,3,2,1,1,1,0,1,29,27,1,8,3,1,0,5,1,2,13,0,4,10,2,11,0,0,13,2,0,5,0,2,1,0,1,3,13,1,17,0,0,1,2,0,4,0,0,0,2,1,3,2,0,1,24,8,0,6,0,3,0,13,5,8,1,0,1,7,1,3,16,9,4,48,2,7,8,1,2,54,3,1,1,1,0,0,2,3,8,7,0,0,5,3,2,1,23,1,1,1,1,13,3,0,3,0,10,0,15,15,14,2,11,9,3,1,4,1,0,7,9,0,7,2,3,2
1,11,6,1,0,0,0,5,0,1,0,0,0,1,2,0,0,3,0,0,0,3,1,1,7,0,2,3,0,0,0,5,0,1,5,5,0,9,2,0,0,3,1,0,3,1,0,2,10,1,6,8,3,3,0,2,1,6,0,1,7,0,0,3,0,0,1,14,0,1,5,1,1,1,29,5,22,9,2,1,0,1,2,0,0,4,0,3,0,0,3,0,0,5,0,10,6,1,3,0,0,2,1,0,6,4,3,3,4,0,0,1,1,0,2,0,1,7,1,0,0,2,2,1,0,7,4,1,2,0,16,2,0,12,0,1,7,2,0,4,1,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,4,2,2,32,0,0,5,3,5,0,2,0,0,1,13,1,0,0,0,0,4,1,7,2,1,0,0,0,0,0,0,1,0,0,3,1,9,1,2,12,20,2,4,1,5,0,16,1,0,4,6,2,3,0,1,4,0,3,3,0,10,5,1,0,5,3,1,0,2,0,11,1,1,2,1,0,0,1,1,1,3,1,0,3,2,3,8,1,0,0,0,0,0,11,1,3,0,10,0,1,1,6,0,0,0,9,0,8,3,7,0
4,11,21,8,2,2,11,3,1,1,1,0,2,1,55,1,4,6,0,12,0,8,0,21,0,1,0,0,2,0,2,0,0,20,5,0,0,110,6,0,4,3,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,2,0,22,1,2,40,43,1,2,12,0,0,0,3,0,31,1,8,4,5,1,2,1,2,3,0,9,26,12,0,2,0,0,2,1,16,24,42,251,1,13,6,1,26,0,0,0,3,3,2,39,56,0,0,2,56,1,3,0,5,1,1,0,5,3,4,4,0,4,5,0,0,3,1,0,0,1,5,2,0,0,2,0,0,0,0,1,2,2,0,2,0,79,63,0,11,0,1,1,1,1,0,27,0,10,7,2,15,0,1,36,0,3,3,1,0,0,0,1,6,12,3,22,0,2,0,3,0,6,1,0,1,2,4,4,4,1,1,28,15,3,1,0,0,0,6,1,11,0,0,0,9,1,7,27,14,6,66,1,4,12,1,13,71,6,3,3,8,0,1,0,8,1,9,0,1,6,3,0,7,100,0,1,3,28,15,8,0,3,0,12,0,34,0,13,2,2,4,11,3,4,1,0,8,8,2,13,1,3,8
5,26,10,1,8,0,8,5,2,2,0,3,3,0,21,0,6,2,1,8,0,6,2,13,0,0,0,2,0,0,2,2,0,10,8,4,0,73,2,2,1,4,0,0,4,1,1,2,24,4,12,3,6,0,0,1,1,3,2,14,2,0,40,29,0,8,13,1,0,1,3,6,21,0,4,4,25,5,2,1,1,9,1,8,21,15,2,5,0,0,2,0,5,16,30,165,5,6,9,2,24,1,4,0,8,0,3,21,42,0,0,0,32,5,6,0,5,11,2,2,4,6,1,4,0,2,2,0,5,0,14,1,5,7,2,3,1,1,2,2,2,1,2,8,3,0,2,3,2,62,36,1,14,5,1,0,4,1,0,50,0,8,5,3,21,1,2,20,6,4,9,0,1,1,2,0,7,11,0,26,2,0,0,5,0,8,0,4,4,16,23,4,4,2,3,34,69,2,7,1,4,3,17,0,5,3,0,0,6,0,2,19,10,6,64,2,4,9,1,8,57,15,2,1,4,6,2,3,2,4,9,1,0,7,9,0,12,81,0,3,4,10,11,2,2,4,2,12,0,33,11,23,0,16,5,7,3,5,1,1,3,7,1,12,8,5,10
0,18,12,4,1,1,4,5,0,2,1,0,0,0,12,0,3,4,1,1,0,3,1,7,0,2,0,1,2,0,0,2,4,7,13,7,0,32,8,0,0,0,1,0,2,1,0,2,8,3,6,6,2,0,1,0,6,7,0,5,17,1,5,3,0,0,4,7,0,0,8,0,12,0,9,4,7,6,0,1,1,2,1,3,7,7,0,1,0,6,4,1,1,12,5,45,2,2,7,0,2,3,2,0,5,0,14,6,26,0,0,1,15,2,10,1,2,1,0,2,1,1,2,4,0,1,1,0,2,0,5,2,3,7,1,0,7,1,2,2,0,0,1,0,0,0,0,1,2,14,10,0,11,9,0,0,3,4,1,45,1,1,18,3,6,1,0,3,0,0,9,1,2,1,0,2,7,2,1,5,0,1,0,0,0,1,0,0,1,6,8,1,13,0,4,14,14,1,5,0,4,3,9,1,2,2,14,0,1,0,1,6,3,5,14,1,7,10,4,0,28,6,2,1,0,1,4,1,2,7,4,0,1,3,1,1,5,12,0,8,3,4,5,3,0,0,1,2,1,25,0,2,0,6,2,6,2,1,1,0,6,9,15,6,12,12,14
0,25,23,7,10,2,9,25,0,0,1,1,3,2,11,0,3,9,6,2,0,3,2,11,1,5,5,7,0,1,0,16,1,7,20,8,0,25,11,1,0,8,1,9,0,1,5,0,8,1,23,17,0,1,1,0,5,7,3,9,3,1,8,7,0,8,3,2,1,0,8,2,16,2,43,8,17,6,0,3,0,3,5,6,4,25,0,2,0,2,4,0,1,8,9,70,3,2,18,0,4,7,5,0,15,1,22,4,18,0,1,1,15,6,9,4,5,3,1,3,4,8,1,1,0,13,3,4,7,1,11,0,2,17,1,4,1,1,1,2,0,1,1,14,2,0,0,7,1,22,14,0,11,13,0,2,4,2,3,78,0,3,45,1,15,0,0,5,0,0,10,2,4,7,0,4,7,4,9,17,1,0,0,0,0,3,1,1,1,17,17,11,5,5,2,29,62,5,9,0,10,4,14,1,5,4,3,0,4,0,0,16,2,2,12,0,12,7,9,2,19,8,3,2,1,1,14,0,2,10,5,2,1,3,3,0,9,14,1,2,5,9,27,1,3,2,1,8,0,19,3,12,1,7,1,3,8,3,1,2,1,8,5,5,8,16,3
1,8,6,0,1,0,5,3,0,0,0,1,3,1,11,1,1,6,0,5,0,0,0,2,0,1,2,0,0,0,0,10,5,7,4,2,0,51,5,2,0,1,0,0,1,2,0,2,7,1,12,1,3,0,0,0,0,2,1,8,1,1,8,13,0,6,2,2,0,0,0,0,7,0,5,0,13,3,0,0,0,2,0,6,6,6,0,0,0,0,1,1,0,1,15,59,6,5,11,2,4,0,0,1,3,0,6,9,14,0,0,0,17,0,4,0,3,2,0,0,3,2,0,3,2,0,2,1,3,1,15,1,1,0,0,2,1,0,1,6,1,0,0,1,1,1,0,1,0,28,19,1,1,7,1,0,3,0,1,16,0,2,7,0,5,0,1,4,0,4,1,1,2,0,0,0,1,6,1,9,0,0,0,0,0,0,0,0,2,1,0,5,3,2,3,18,2,1,1,0,1,0,15,0,1,0,0,0,5,0,1,14,3,2,22,0,5,3,0,1,38,2,2,0,1,2,0,1,0,4,4,2,1,1,3,0,0,27,0,1,1,3,6,3,2,0,2,4,0,20,1,5,0,9,4,3,1,3,0,2,0,2,2,5,2,2,1
0,2,8,7,2,0,14,6,0,0,2,0,2,2,21,0,3,4,0,7,0,4,1,13,0,1,4,1,1,1,1,2,0,14,4,3,0,45,3,0,0,0,0,0,2,1,0,0,8,0,2,3,2,0,0,0,1,6,3,12,0,2,27,32,2,1,3,1,0,0,4,1,16,0,3,0,6,3,3,0,5,2,2,11,19,11,0,1,0,0,2,0,7,17,30,118,2,4,5,0,11,3,1,0,2,2,1,16,30,0,0,2,29,0,1,0,4,7,1,1,4,4,0,2,0,3,1,0,4,0,10,0,1,4,8,4,0,0,1,1,0,2,1,0,2,1,1,2,1,35,23,0,3,2,0,1,1,1,0,31,1,7,12,3,10,0,0,12,0,0,2,0,2,1,0,0,6,5,0,8,0,0,0,1,0,0,1,0,2,3,5,1,0,2,1,16,12,3,1,1,3,1,6,0,3,0,1,0,2,0,3,4,8,6,31,2,1,1,0,7,50,3,0,1,2,3,0,1,1,1,9,0,0,1,2,3,5,49,0,0,1,12,8,3,0,1,0,21,1,15,8,8,1,3,9,4,5,2,1,2,2,6,3,5,1,3,3
3,14,27,8,13,0,2,26,1,0,0,1,0,4,3,0,8,13,2,0,0,4,0,13,3,1,2,7,0,2,0,4,0,9,17,13,0,12,10,1,10,22,0,0,7,2,2,4,18,6,25,22,11,0,1,7,16,8,9,2,10,0,2,3,0,0,0,3,1,2,2,3,4,2,27,5,39,12,1,1,0,1,3,3,0,9,0,2,0,2,1,0,0,9,1,23,7,3,9,3,3,4,4,9,43,7,37,4,4,0,0,0,19,2,11,5,15,4,4,7,2,4,0,1,0,1,5,4,18,0,19,6,21,12,1,1,0,0,0,6,1,1,3,5,1,0,0,0,0,5,6,2,6,11,0,0,11,2,1,50,2,0,79,5,8,1,2,1,1,0,10,1,18,7,0,1,5,0,1,9,1,0,1,4,0,0,1,0,1,8,13,18,8,0,8,37,50,3,8,3,10,1,28,2,5,2,1,1,2,1,1,16,2,31,5,1,4,3,4,0,23,16,1,4,2,6,4,1,1,15,4,0,2,2,1,0,9,4,0,3,3,2,7,0,1,2,4,3,2,27,3,7,0,15,1,9,2,8,0,6,3,11,2,11,5,28,6
1,29,15,6,2,0,5,11,0,0,1,1,1,0,17,3,11,16,0,6,0,2,5,16,1,1,5,6,1,0,1,2,0,9,23,13,0,22,9,2,3,4,1,1,4,3,0,5,10,6,21,11,4,4,2,0,6,10,2,12,4,0,15,11,0,0,5,1,1,1,4,2,9,1,31,4,26,7,1,1,0,1,4,1,5,4,2,2,0,3,0,0,4,6,10,48,7,2,8,4,4,6,7,2,17,1,16,6,24,0,2,4,15,4,6,0,8,16,4,2,4,6,0,1,0,8,8,1,16,2,18,1,6,15,1,4,0,0,4,6,2,3,0,0,0,0,0,0,0,17,10,0,3,9,1,1,6,3,1,73,0,5,34,4,14,0,3,13,0,0,14,1,5,5,1,0,3,1,1,13,0,0,1,3,0,2,1,2,1,9,16,12,5,2,4,29,54,3,6,0,11,0,23,1,7,2,0,0,3,0,0,24,3,8,11,0,9,14,3,7,11,11,6,4,1,1,6,2,5,9,2,0,1,2,3,0,8,48,0,5,8,12,9,1,0,4,2,10,0,22,2,5,0,20,1,5,2,4,1,1,3,16,3,2,4,17,5
