genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,0.999954602130669,4,16,0.06722587171955074,4.5399929762484854e-05,-7612.842894710005,-3.5087180566107796,14.025128708206042,SE,4508,399.2754247825071,140300575096.40775,0.002657175064086914,15259.340224920648,-7612.893042219015,0.050147509010457725,0.8228067956616902,0.8364431196479629
ACTA2,0.9999546021306689,4,27,0.06722587171955074,4.5399929762484854e-05,-6263.985545774283,-0.7570609781607421,1.5159177643433375,SE,4508,999.3800040630811,351170096147.4636,0.003041982650756836,12561.625527049206,-6264.012769492487,0.027223718203458702,0.8689470393601995,0.8377581618356198
ACTG2,0.999954602130669,4,45,0.06722587171955074,4.5399929762484854e-05,-7396.356181225855,-1.3620875567743895,3.4132753475804085,SE,4508,945.3341304755845,332179027137.74506,0.002540111541748047,14826.366797952349,-7396.3850146020795,0.02883337622461113,0.8651643324615325,0.8377581618356198
ADAM9,0.9999546021306689,4,46,0.06722587171955074,4.5399929762484854e-05,-5378.7248759491595,-2.486180071907704,6.81707181470226,SE,4508,1292.7981853630097,454273710908.2068,0.0025641918182373047,10791.104187398958,-5378.747087051392,0.022211102232176927,0.8815268862919408,0.8377581618356198
ADGRE5,0.999954602130669,4,56,0.06722587171955074,4.5399929762484854e-05,-7305.340304276628,-4.062998897247105,18.002822632204097,SE,4508,607.6687690668825,213527486232.46854,0.002899169921875,14644.335044053894,-7305.378693472554,0.03838919592635648,0.8446636952954953,0.8377581618356198
AIF1,0.999954602130669,4,60,0.06722587171955074,4.5399929762484854e-05,-6128.093832591878,-4.044014106905549,17.240085848133166,SE,4508,1798.5684545293514,631995291617.8224,0.002599954605102539,12289.842100684395,-6128.111451478914,0.017618887036405795,0.8944020477224524,0.8377581618356198
AKR1C1,0.9999546021306689,4,69,0.06722587171955074,4.5399929762484854e-05,-4401.1962483894295,-2.6300329141790457,7.328970987587951,SE,4508,3052.690539155614,1072678686571.0231,0.002371072769165039,8836.046932279498,-4401.207297148825,0.011048759395634988,0.9162860811857508,0.8377581618356198
ANGPT2,2.061153589649148e-09,4,73,0.06722587171955074,485165195.4097903,-7217.592448352523,-8.072468623571293,1.3728145165365193e-07,SE,4508,1108.3191398327378,1.888946593147858e+20,0.0029146671295166016,14468.839332205685,-7217.592503817645,5.5465121477027424e-05,0.9940578168835481,0.8626121641516403
ANKRD28,0.999954602130669,4,98,0.06722587171955074,4.5399929762484854e-05,-6859.997310085439,-4.476784255175742,21.267804773470996,SE,4508,1083.9675062509493,380893125581.13293,0.0031418800354003906,13753.649055671516,-6860.023423460114,0.026113374675333034,0.8716237455997434,0.8377581618356198
ANKRD29,0.999954602130669,4,114,0.06722587171955074,4.5399929762484854e-05,-5653.33853551634,-1.4177173475708669,2.7288017569668215,SE,4508,1207.6296427620757,424346510870.9884,0.0027480125427246094,11340.331506533319,-5653.361971618599,0.02343610225852899,0.8783284500679759,0.8377581618356198
ANKRD30A,0.999954602130669,4,115,0.06722587171955074,4.5399929762484854e-05,-4896.41551551837,-2.7614872405955824,8.139016740977262,SE,4508,1777.9664214577156,624755985340.1456,0.0032787322998046875,9826.485466537379,-4896.432708575777,0.017193057406984735,0.8956785610660125,0.8377581618356198
APOBEC3B,0.999954602130669,4,131,0.06722587171955074,4.5399929762484854e-05,-7546.771151259076,-5.334280906253242,30.11741548199948,SE,4508,525.0525218421186,184497132049.62527,0.002946138381958008,15127.19673801879,-7546.813265456638,0.042114197562113986,0.8374022444858532,0.8377581618356198
APOC1,0.999954602130669,4,140,0.06722587171955074,4.5399929762484854e-05,-5574.251122723947,-2.690466865880603,7.932175243946885,SE,4508,1856.6851886684397,652416811991.523,0.003443002700805664,11182.156680948534,-5574.26829274139,0.01717001744236768,0.8957480842996497,0.8377581618356198
