,cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
0,171,744.2483062744141,868.1853515624999,241,0,0,241,179.360625,79.0234375,Invasive_Tumor
1,180,771.7920104980468,858.4029846191406,91,0,0,91,58.29671875,18.37859375,DCIS_2
2,182,704.6798828125,847.8814849853516,113,0,0,113,96.273125,49.26546875,DCIS_2
3,184,610.0765533447266,864.0317443847656,137,0,0,137,93.8346875,58.432187500000005,DCIS_2
4,185,766.362417602539,843.2594024658202,90,0,0,90,61.638281250000006,22.26203125,Invasive_Tumor
5,186,614.2623779296874,857.5655395507812,215,0,0,215,137.68140625,49.7621875,DCIS_2
6,195,602.9930297851562,866.0138671875,188,0,0,188,125.57953125,68.456875,DCIS_2
7,197,771.6241271972656,869.5202728271485,218,0,0,219,151.31859375000002,52.7425,DCIS_2
8,201,603.3000549316406,842.1502624511719,258,0,0,259,236.7090625,31.47390625,DCIS_2
9,204,617.3065856933594,843.7939208984375,180,1,0,181,203.69984375,75.36578125,DCIS_2
10,205,623.9435791015625,848.3076263427735,79,0,0,79,60.91578125,12.463125,DCIS_2
11,206,714.4556091308593,846.2976959228515,189,1,0,190,141.20359375,69.72125,DCIS_2
12,207,623.1503875732421,864.7397491455077,278,1,0,279,149.60265625,85.84203125,DCIS_2
13,208,631.6899719238281,843.5676208496094,103,0,0,103,119.16734375,31.248125,DCIS_2
14,209,630.0645233154297,855.2297515869141,151,0,0,152,107.69765625,40.14390625,DCIS_2
15,210,631.877310180664,869.4710388183594,204,0,0,204,138.67484375,89.81578125,DCIS_2
16,211,637.9047668457031,863.2264129638671,118,0,0,118,98.30515625,57.84515625,Invasive_Tumor
17,212,641.0042266845703,855.3209564208984,91,0,0,91,80.96515625,40.95671875,DCIS_2
18,213,645.3309051513671,869.699673461914,149,0,0,149,140.75203125000002,37.1184375,DCIS_2
19,214,648.7152374267578,839.7676269531249,138,1,0,140,133.52703125,42.627500000000005,Invasive_Tumor
20,215,645.9541900634765,848.3792724609375,106,0,0,106,101.10484375,64.121875,DCIS_2
21,216,655.9124816894531,849.0970825195312,65,0,0,65,41.182500000000005,11.24390625,DCIS_2
22,217,650.0696136474609,855.710107421875,104,1,0,105,74.82390625000001,51.61359375,DCIS_2
23,218,654.9171142578125,862.5551910400391,160,0,0,160,138.13296875,83.62937500000001,DCIS_2
24,219,662.9181335449218,869.12998046875,99,0,0,99,61.006093750000005,38.24734375,DCIS_2
25,220,660.0921325683594,844.8972503662109,82,0,0,82,78.97828125000001,15.6240625,DCIS_2
26,221,664.1074798583984,860.8108856201171,139,0,0,139,120.61234375,80.69421875,DCIS_2
27,222,666.9451538085938,851.1959869384765,105,0,0,105,79.9265625,51.0265625,Invasive_Tumor
28,223,757.0438049316406,849.5706939697266,201,0,0,201,153.03453125,77.98484375000001,DCIS_2
29,224,677.334619140625,861.1738891601562,239,0,0,239,176.1996875,40.46,DCIS_2
30,225,678.1921417236327,838.8806365966797,112,0,0,112,82.68109375,44.885312500000005,DCIS_2
31,226,671.6384155273437,844.6345825195312,272,0,0,272,211.64734375,117.63203125,DCIS_2
32,227,694.4681579589843,841.1872161865234,85,0,0,85,71.03078125,33.09953125,Invasive_Tumor
33,228,695.8400695800781,862.0886352539062,153,0,0,153,115.28390625,42.627500000000005,DCIS_2
34,229,693.6047210693359,854.728384399414,149,1,0,150,115.6,35.04125,DCIS_2
35,230,698.2126922607422,870.4276000976562,215,1,0,216,178.4575,45.38203125,DCIS_2
36,231,684.7625732421875,849.843374633789,208,0,0,209,152.8990625,66.06359375000001,DCIS_2
37,232,708.7581604003906,859.0449462890625,191,0,0,191,150.77671875,80.24265625000001,DCIS_2
38,233,696.5692413330078,846.4481475830078,76,0,0,76,63.3090625,26.50671875,DCIS_2
39,234,724.5966735839844,852.4028167724609,365,0,0,365,283.49093750000003,63.8509375,DCIS_2
40,235,715.5568115234374,871.0341796875,172,0,0,172,90.131875,50.98140625,DCIS_2
41,236,726.8503875732422,869.1231323242188,98,0,0,98,122.644375,14.1790625,Invasive_Tumor
42,237,739.4088470458984,850.1379486083985,303,0,0,303,212.5053125,64.34765625,DCIS_2
43,238,713.5770751953124,866.2424499511718,116,0,0,116,90.26734375,33.776875000000004,DCIS_2
44,239,733.6182739257812,838.059326171875,283,0,0,283,179.54125000000002,79.97171875000001,DCIS_2
45,240,806.5680297851562,850.4457000732422,303,0,0,303,225.46515625,78.34609375000001,DCIS_2
46,241,799.4541564941406,863.6449279785156,235,0,0,235,169.42625,80.33296875,DCIS_2
47,242,769.1510131835937,850.9728515625,279,0,0,279,191.643125,68.50203125,DCIS_2
48,243,752.6821075439453,840.9406829833985,129,1,0,130,83.7196875,47.54953125,Invasive_Tumor
49,244,786.8501983642578,859.6674530029296,350,0,0,350,247.45625,88.14500000000001,DCIS_2
50,245,747.2322296142578,857.4860595703125,162,0,0,162,128.92109375,54.68421875,DCIS_2
51,246,813.5157836914062,865.2686126708984,230,0,0,230,158.95000000000002,86.92578125,DCIS_2
52,247,782.2942108154297,850.5076965332031,223,0,0,223,197.1521875,77.21718750000001,DCIS_2
53,248,757.3271209716796,863.8858581542969,189,0,0,189,147.88671875,60.509375000000006,DCIS_2
54,403,851.3472686767578,785.402490234375,77,0,0,77,145.62890625,10.16015625,Myoepi_ACTA2+
55,417,838.8602996826172,606.667578125,407,0,0,407,191.95921875,79.5653125,DCIS_2
56,418,822.8499603271484,621.7980865478515,264,0,0,264,194.533125,68.50203125,Macrophages_1
57,419,836.3440216064453,614.2790832519531,187,0,0,187,63.399375000000006,31.970625,DCIS_2
58,420,839.4499664306641,619.9115264892578,343,1,0,344,158.18234375,80.15234375,DCIS_2
59,421,847.8221862792968,628.6601348876953,420,0,0,420,251.1590625,76.94625,DCIS_2
60,422,832.0189514160156,631.2384094238281,344,0,0,344,174.2128125,63.3090625,DCIS_2
61,423,823.37939453125,642.5395599365235,110,0,0,110,65.97328125,34.138125,DCIS_2
62,424,829.6941619873047,645.2354461669921,342,0,0,342,179.54125000000002,66.33453125,DCIS_2
63,425,836.4547332763672,657.8737487792969,495,0,0,495,347.92890625,113.4325,DCIS_2
64,426,845.0866119384765,644.9371887207031,272,0,0,273,160.21437500000002,73.64984375,DCIS_2
65,427,852.9548706054687,657.4164794921875,297,0,0,297,198.32625,88.0546875,DCIS_2
66,428,827.2857940673828,670.8938873291015,269,0,1,270,216.88546875,49.62671875,DCIS_2
67,429,846.670297241211,680.0215301513672,132,0,0,132,181.9796875,35.98953125,DCIS_2
68,430,818.3362030029297,689.1276428222656,84,0,0,84,146.89328125,20.09453125,Macrophages_1
69,431,831.7089172363281,840.5203521728515,263,0,0,263,219.64,68.50203125,Invasive_Tumor
