GeneID	gene	Marker	LRindex	role	marker_amplitude	Type_0	Type_1	Type_2	Type_3	Type_4	Type_5	Type_6	Type_7	Type_8
0	Cux2	0	-1	named cortical subclass marker	6.998221360283761	8.688382056533126	3.5306128235626137	1.011899856352858	0.6733040475360663	0.770539940774753	1.2422826157898452	1.9566585567828148	0.21298664922164712	0.21588559109542182
1	Rorb	1	-1	named cortical subclass marker	12.023252108751999	4.292303351627192	12.416479483065771	4.160390467009469	5.939502363071854	1.769999406707917	0.6460257586784033	1.241150376244256	0.5997002028431871	1.2690028991358637
2	Fezf2	2	-1	named cortical subclass marker	8.406471909346017	0.3621329897456049	1.139318331484132	9.194622491650117	1.766741986682237	2.263496970295601	2.1948552492979188	2.4745937507386646	0.5844207066371065	0.9607396658900331
3	Deptor	3	-1	named cortical subclass marker	9.336301807346198	0.30381909216619507	2.0655823461439593	1.9555677888307947	9.652084004151522	1.9985344834761833	0.8647843457888702	4.159611776589489	0.7857572603472204	0.9167326868883551
4	Tshz2	4	-1	named cortical subclass marker	8.650782884665773	0.20296806110741944	1.7444040572509258	2.0008617184333666	1.1498846511457377	9.839577145320678	1.8848166493402394	0.9546386493716892	0.8674165455402636	1.0525263926721975
5	Foxp2	5	-1	named cortical subclass marker	5.925728175162099	0.1648485695445026	0.42972190784829994	2.0163410727219864	1.1231507929934659	1.2946447409966613	7.3500470006079155	1.1744554002920897	1.2941526860671044	2.5154669568287447
6	Sulf2	6	-1	named cortical subclass marker	8.919755727115314	0.094052280994198	0.5880636477286345	0.7550989213233839	1.7216819051147216	2.861303969932609	2.3413338604781195	11.22517948418116	2.1880647695217763	2.131265330405377
7	Car3	7	-1	named cortical subclass marker	11.169490235533814	0.34817600525143116	1.5969932718219821	0.4448546407372201	1.8827377323319674	0.9483690946745774	1.6488007755003429	2.1348480800054235	11.62107501666841	1.3170473508405438
8	Ctgf	8	-1	named cortical subclass marker	5.672203957982811	0.26346303707512675	0.5940141474382392	1.5201453428483427	0.492828925636125	0.8616423667681038	1.5349290666393096	0.9667072159823753	0.6644020271674584	5.941346696672219
9	Marker_01_1	0	-1	generic marker for L2/3 IT	5.584680948618116	6.913706150745794	0.3482360605795086	1.5321734619219691	0.6494048165160163	1.1325919964179894	0.38827278114614366	1.4951265885407579	0.2381061102096801	0.7190268654504973
10	Marker_01_2	0	-1	generic marker for L2/3 IT	9.198699104519775	10.069253986455728	0.9244669736831885	1.253865048638907	1.395275273727222	0.8155770757028313	1.089052372234262	0.41470940970635084	0.3061128122624515	0.9365405732687375
11	Marker_02_1	1	-1	generic marker for L4/5 IT	6.6744120239307385	0.602376503549091	7.101449670445642	1.9212318218353162	0.9957526607234418	0.4107959603936426	1.140366027133817	1.6494965471114365	0.5076239180285288	1.8986682549049674
12	Marker_02_2	1	-1	generic marker for L4/5 IT	9.223313283077355	1.3803682300004132	11.003365482816749	0.40963345714570476	0.3044560637286463	1.005477588735734	0.709000182519255	0.46643954662038845	0.44769642011020977	0.29664572055954425
13	Marker_03_1	2	-1	generic marker for L5 ET	8.094089660800764	0.416035058217032	0.681499294734375	8.400325590610278	0.9595163326929342	0.5112758579618741	1.1565816906654345	0.8403517414942073	0.37887804966112043	0.7120558203744077
14	Marker_03_2	2	-1	generic marker for L5 ET	10.196113265146217	2.409010386671596	0.8099943305480815	10.653214138878592	1.311063691803564	1.9350733854803561	0.906313205778313	0.5533404223817939	0.3260515218502632	0.8321686225890128
