"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",1.4233424821004,0.154636897513983
"ANKRD28","B_Cells",0.481886960809381,0.629886249389212
"BASP1","B_Cells",0.71747626736165,0.473080275067415
"C2orf42","B_Cells",0.0052730898425657,0.995792702524551
"CCPG1","B_Cells",0.0960432107617675,0.92348625394066
"CLDN4","B_Cells",0.07144140401832,0.943046458132908
"CXCR4","B_Cells",0.787814115198489,0.430805443416019
"CYTIP","B_Cells",0.543932457477881,0.586487952581044
"DAPK3","B_Cells",0.00532659012085911,0.995750016078007
"DUSP5","B_Cells",2.08104615312215,0.0374296817948355
"ERN1","B_Cells",0.265100692636035,0.790931893775936
"ESR1","B_Cells",1.27408425053373,0.202633559393625
"FAM107B","B_Cells",0.335619562348851,0.737157770236287
"FAM49A","B_Cells",0.456917272286471,0.647730508707266
"GLIPR1","B_Cells",0.0821860683851669,0.934498751783125
"HDC","B_Cells",0.00512488466241777,0.995910951551399
"HMGA1","B_Cells",0.0657669797989269,0.947563345601737
"ITGAM","B_Cells",0.0830110251339383,0.933842773083418
"ITM2C","B_Cells",0.273717945461735,0.784301385770795
"KARS","B_Cells",0.00430133258378129,0.996568043723227
"LDHB","B_Cells",0.362925301710949,0.716660685501658
"LGALSL","B_Cells",0.00430841177298654,0.996562395399795
"LPXN","B_Cells",0.654707734065342,0.512655944790136
"MAP3K8","B_Cells",0.573828424403462,0.566083911951102
"MDM2","B_Cells",0.512365023405247,0.608395565196581
"MRC1","B_Cells",0.150450330407995,0.880409335195098
"MZB1","B_Cells",0.442794976647224,0.657914037107472
"NPM3","B_Cells",0.00515833475107862,0.995884262594879
"OCIAD2","B_Cells",1.00982861157285,0.312577409721176
"PDE4A","B_Cells",0.0576433981018013,0.95403268043632
"PELI1","B_Cells",0.0708797887218798,0.943493429174513
"PIM1","B_Cells",0.8780587593209,0.379911831965505
"PRDM1","B_Cells",1.44416363305761,0.14869295198623
"RAB30","B_Cells",0.929184126765051,0.352793672163378
"RAPGEF3","B_Cells",0.531519522293071,0.595058816651361
"SEC11C","B_Cells",0.460917609406571,0.644857717366128
"SEC24A","B_Cells",0.645739687882358,0.518447953225339
"SELL","B_Cells",1.03767513437908,0.299421325168532
"SLAMF7","B_Cells",0.941337369730452,0.346531998000036
"SLC25A37","B_Cells",0.0620663246594109,0.950510014303315
"SMAP2","B_Cells",0.143197126741116,0.886134498965907
"SQLE","B_Cells",0.193947117371694,0.846217289761348
"TENT5C","B_Cells",0.506242898665133,0.612686143147772
"THAP2","B_Cells",0.0581759466535101,0.953608480055085
"TIFA","B_Cells",0.202569334283746,0.839471660735315
"TMEM147","B_Cells",0.184800541562348,0.853385483070482
"TOMM7","B_Cells",0.515558622435911,0.606162715946474
