,Cell,Cell_type
0,C_1,Invasive_Tumor
1,C_2,Endothelial
2,C_3,Invasive_Tumor
3,C_4,Endothelial
4,C_5,Endothelial
5,C_6,Invasive_Tumor
6,C_7,Macrophages_1
7,C_8,Stromal
8,C_9,Invasive_Tumor
9,C_10,Invasive_Tumor
10,C_11,Invasive_Tumor
11,C_12,Stromal
12,C_13,Endothelial
13,C_14,Prolif_Invasive_Tumor
14,C_15,Prolif_Invasive_Tumor
15,C_16,CD4+_T_Cells
16,C_17,Stromal
17,C_18,Macrophages_1
18,C_19,Endothelial
19,C_20,Endothelial
20,C_21,Macrophages_1
21,C_22,CD8+_T_Cells
22,C_23,Invasive_Tumor
23,C_24,Endothelial
24,C_25,Endothelial
25,C_26,Endothelial
26,C_27,Stromal
27,C_28,Endothelial
28,C_29,Endothelial
29,C_30,T_Cell_&_Tumor_Hybrid
30,C_31,Macrophages_1
31,C_32,Macrophages_1
32,C_33,Prolif_Invasive_Tumor
33,C_34,Invasive_Tumor
34,C_35,CD8+_T_Cells
35,C_36,Endothelial
36,C_37,Invasive_Tumor
37,C_38,Prolif_Invasive_Tumor
38,C_39,Invasive_Tumor
39,C_40,Invasive_Tumor
40,C_41,Macrophages_1
41,C_42,Prolif_Invasive_Tumor
42,C_43,Prolif_Invasive_Tumor
43,C_44,Macrophages_1
44,C_45,Prolif_Invasive_Tumor
45,C_46,CD8+_T_Cells
46,C_47,Endothelial
47,C_48,Invasive_Tumor
48,C_49,Endothelial
49,C_50,Stromal
50,C_51,Macrophages_1
51,C_52,B_Cells
52,C_53,Stromal
53,C_54,Macrophages_1
54,C_55,Macrophages_1
55,C_56,Macrophages_1
56,C_57,Stromal
57,C_58,Macrophages_1
58,C_59,Macrophages_1
59,C_60,Endothelial
60,C_61,Prolif_Invasive_Tumor
61,C_62,Macrophages_1
62,C_63,Macrophages_1
63,C_64,Invasive_Tumor
64,C_65,Endothelial
65,C_66,CD8+_T_Cells
66,C_67,Prolif_Invasive_Tumor
67,C_68,B_Cells
68,C_69,Prolif_Invasive_Tumor
69,C_70,T_Cell_&_Tumor_Hybrid
70,C_71,Prolif_Invasive_Tumor
71,C_72,Prolif_Invasive_Tumor
72,C_73,Macrophages_1
73,C_74,Endothelial
74,C_75,Endothelial
75,C_76,Macrophages_1
76,C_77,Macrophages_1
77,C_78,Endothelial
78,C_79,Stromal
79,C_80,Stromal
80,C_81,Stromal
81,C_82,Macrophages_1
82,C_83,Invasive_Tumor
83,C_84,Prolif_Invasive_Tumor
84,C_85,Invasive_Tumor
85,C_86,Macrophages_1
86,C_87,CD8+_T_Cells
87,C_88,CD8+_T_Cells
88,C_89,Macrophages_1
89,C_90,Stromal
90,C_91,Endothelial
91,C_92,Endothelial
92,C_93,Invasive_Tumor
93,C_94,Prolif_Invasive_Tumor
94,C_95,Endothelial
95,C_96,CD8+_T_Cells
96,C_97,Stromal
97,C_98,B_Cells
98,C_99,Invasive_Tumor
99,C_100,Invasive_Tumor
100,C_101,Endothelial
101,C_102,Macrophages_1
102,C_103,Endothelial
103,C_104,Stromal
104,C_105,Macrophages_1
105,C_106,Stromal
106,C_107,Endothelial
107,C_108,Invasive_Tumor
108,C_109,Prolif_Invasive_Tumor
109,C_110,Endothelial
110,C_111,T_Cell_&_Tumor_Hybrid
111,C_112,Prolif_Invasive_Tumor
112,C_113,Endothelial
113,C_114,Invasive_Tumor
114,C_115,Endothelial
115,C_116,Invasive_Tumor
116,C_117,CD8+_T_Cells
117,C_118,T_Cell_&_Tumor_Hybrid
118,C_119,Macrophages_1
119,C_120,Endothelial
120,C_121,Endothelial
121,C_122,B_Cells
122,C_123,Macrophages_1
123,C_124,Stromal
124,C_125,Endothelial
125,C_126,Endothelial
126,C_127,Endothelial
127,C_128,Prolif_Invasive_Tumor
128,C_129,Endothelial
129,C_130,Prolif_Invasive_Tumor
130,C_131,Endothelial
131,C_132,Stromal
132,C_133,Macrophages_1
133,C_134,CD8+_T_Cells
134,C_135,Invasive_Tumor
135,C_136,CD8+_T_Cells
136,C_137,Macrophages_1
137,C_138,Macrophages_1
138,C_139,CD8+_T_Cells
139,C_140,Prolif_Invasive_Tumor
140,C_141,Stromal
141,C_142,Stromal
142,C_143,Stromal
143,C_144,Stromal
144,C_145,Prolif_Invasive_Tumor
145,C_146,Invasive_Tumor
146,C_147,B_Cells
147,C_148,Prolif_Invasive_Tumor
148,C_149,Invasive_Tumor
149,C_150,Invasive_Tumor
150,C_151,Invasive_Tumor
151,C_152,CD8+_T_Cells
152,C_153,Stromal
153,C_154,Prolif_Invasive_Tumor
154,C_155,Endothelial
155,C_156,Prolif_Invasive_Tumor
156,C_157,Endothelial
157,C_158,Endothelial
158,C_159,Invasive_Tumor
159,C_160,Macrophages_1
160,C_161,Invasive_Tumor
161,C_162,Stromal
162,C_163,Invasive_Tumor
163,C_164,Invasive_Tumor
164,C_165,Macrophages_1
165,C_166,Stromal
