,Cell,Cell_type
0,C_1,Stromal
1,C_2,Stromal
2,C_3,Stromal
3,C_4,Invasive_Tumor
4,C_5,Macrophages_1
5,C_6,Invasive_Tumor
6,C_7,Stromal
7,C_8,Invasive_Tumor
8,C_9,Stromal
9,C_10,Invasive_Tumor
10,C_11,Stromal
11,C_12,Invasive_Tumor
12,C_13,Invasive_Tumor
13,C_14,Invasive_Tumor
14,C_15,Invasive_Tumor
15,C_16,Stromal
16,C_17,Prolif_Invasive_Tumor
17,C_18,Invasive_Tumor
18,C_19,Invasive_Tumor
19,C_20,Endothelial
20,C_21,Prolif_Invasive_Tumor
21,C_22,Invasive_Tumor
22,C_23,Invasive_Tumor
23,C_24,Macrophages_1
24,C_25,Invasive_Tumor
25,C_26,Prolif_Invasive_Tumor
26,C_27,Stromal
27,C_28,Invasive_Tumor
28,C_29,Invasive_Tumor
29,C_30,Stromal
30,C_31,Invasive_Tumor
31,C_32,Invasive_Tumor
32,C_33,Invasive_Tumor
33,C_34,Invasive_Tumor
34,C_35,Invasive_Tumor
35,C_36,Invasive_Tumor
36,C_37,Prolif_Invasive_Tumor
37,C_38,Invasive_Tumor
38,C_39,Invasive_Tumor
39,C_40,Macrophages_1
40,C_41,Invasive_Tumor
41,C_42,Stromal
42,C_43,CD8+_T_Cells
43,C_44,Invasive_Tumor
44,C_45,Invasive_Tumor
45,C_46,Macrophages_1
46,C_47,Endothelial
47,C_48,Invasive_Tumor
48,C_49,Invasive_Tumor
49,C_50,Macrophages_1
50,C_51,Invasive_Tumor
51,C_52,Invasive_Tumor
52,C_53,Stromal
53,C_54,Prolif_Invasive_Tumor
54,C_55,Invasive_Tumor
55,C_56,Invasive_Tumor
56,C_57,Invasive_Tumor
57,C_58,Stromal
58,C_59,Invasive_Tumor
59,C_60,Macrophages_1
60,C_61,Invasive_Tumor
61,C_62,Invasive_Tumor
62,C_63,Macrophages_1
63,C_64,Invasive_Tumor
64,C_65,Prolif_Invasive_Tumor
65,C_66,Macrophages_1
66,C_67,Prolif_Invasive_Tumor
67,C_68,Invasive_Tumor
68,C_69,Invasive_Tumor
69,C_70,Invasive_Tumor
70,C_71,Invasive_Tumor
71,C_72,Stromal
72,C_73,Invasive_Tumor
73,C_74,Invasive_Tumor
74,C_75,Invasive_Tumor
75,C_76,Invasive_Tumor
76,C_77,Invasive_Tumor
77,C_78,Prolif_Invasive_Tumor
78,C_79,Invasive_Tumor
79,C_80,Invasive_Tumor
80,C_81,Invasive_Tumor
81,C_82,CD8+_T_Cells
82,C_83,Invasive_Tumor
83,C_84,Stromal
84,C_85,Invasive_Tumor
85,C_86,Invasive_Tumor
86,C_87,Invasive_Tumor
87,C_88,Invasive_Tumor
88,C_89,Invasive_Tumor
89,C_90,Invasive_Tumor
90,C_91,Invasive_Tumor
91,C_92,Stromal
92,C_93,Invasive_Tumor
93,C_94,Invasive_Tumor
94,C_95,Invasive_Tumor
95,C_96,Invasive_Tumor
96,C_97,Invasive_Tumor
97,C_98,Invasive_Tumor
98,C_99,Invasive_Tumor
99,C_100,Endothelial
100,C_101,Stromal
101,C_102,Macrophages_1
102,C_103,Stromal
103,C_104,Invasive_Tumor
104,C_105,T_Cell_&_Tumor_Hybrid
105,C_106,Invasive_Tumor
106,C_107,Macrophages_1
107,C_108,Invasive_Tumor
108,C_109,Invasive_Tumor
109,C_110,Stromal
110,C_111,Invasive_Tumor
111,C_112,Macrophages_1
112,C_113,Invasive_Tumor
113,C_114,Endothelial
114,C_115,Invasive_Tumor
115,C_116,Invasive_Tumor
116,C_117,Prolif_Invasive_Tumor
117,C_118,Invasive_Tumor
118,C_119,Invasive_Tumor
119,C_120,Invasive_Tumor
120,C_121,Invasive_Tumor
121,C_122,Stromal
122,C_123,Invasive_Tumor
123,C_124,Invasive_Tumor
124,C_125,Invasive_Tumor
125,C_126,Stromal
126,C_127,Invasive_Tumor
127,C_128,Invasive_Tumor
128,C_129,Invasive_Tumor
129,C_130,Prolif_Invasive_Tumor
130,C_131,Invasive_Tumor
131,C_132,Invasive_Tumor
132,C_133,Invasive_Tumor
133,C_134,Invasive_Tumor
134,C_135,Invasive_Tumor
135,C_136,Invasive_Tumor
136,C_137,Endothelial
137,C_138,Invasive_Tumor
138,C_139,Invasive_Tumor
139,C_140,Invasive_Tumor
140,C_141,Prolif_Invasive_Tumor
141,C_142,Invasive_Tumor
142,C_143,Invasive_Tumor
143,C_144,Invasive_Tumor
144,C_145,Invasive_Tumor
145,C_146,Invasive_Tumor
146,C_147,Invasive_Tumor
147,C_148,Invasive_Tumor
148,C_149,Invasive_Tumor
149,C_150,Invasive_Tumor
150,C_151,CD8+_T_Cells
151,C_152,Invasive_Tumor
152,C_153,Invasive_Tumor
153,C_154,Prolif_Invasive_Tumor
154,C_155,Endothelial
155,C_156,Invasive_Tumor
156,C_157,Invasive_Tumor
157,C_158,Invasive_Tumor
158,C_159,Invasive_Tumor
159,C_160,Endothelial
160,C_161,Prolif_Invasive_Tumor
161,C_162,Prolif_Invasive_Tumor
162,C_163,Invasive_Tumor
163,C_164,Invasive_Tumor
164,C_165,Invasive_Tumor
165,C_166,Endothelial
166,C_167,Invasive_Tumor
167,C_168,Invasive_Tumor
168,C_169,Stromal
169,C_170,T_Cell_&_Tumor_Hybrid
170,C_171,Invasive_Tumor
171,C_172,Invasive_Tumor
172,C_173,Invasive_Tumor
173,C_174,Invasive_Tumor
174,C_175,Invasive_Tumor
175,C_176,Invasive_Tumor
176,C_177,Invasive_Tumor
177,C_178,Endothelial
178,C_179,Invasive_Tumor
179,C_180,Invasive_Tumor
180,C_181,Invasive_Tumor
181,C_182,Invasive_Tumor
182,C_183,Invasive_Tumor
183,C_184,Invasive_Tumor
184,C_185,Invasive_Tumor
185,C_186,Invasive_Tumor
186,C_187,Invasive_Tumor
187,C_188,Invasive_Tumor
188,C_189,Stromal
189,C_190,Stromal
190,C_191,Endothelial
191,C_192,Invasive_Tumor
192,C_193,Invasive_Tumor
193,C_194,Invasive_Tumor
194,C_195,Macrophages_1
195,C_196,Stromal
196,C_197,Prolif_Invasive_Tumor
197,C_198,Endothelial
198,C_199,Invasive_Tumor
199,C_200,Invasive_Tumor
200,C_201,Invasive_Tumor
201,C_202,Invasive_Tumor
202,C_203,Invasive_Tumor
203,C_204,Prolif_Invasive_Tumor
204,C_205,Stromal
205,C_206,Invasive_Tumor
206,C_207,Invasive_Tumor
207,C_208,Invasive_Tumor
208,C_209,Invasive_Tumor
209,C_210,Invasive_Tumor
210,C_211,Invasive_Tumor
211,C_212,Invasive_Tumor
212,C_213,Invasive_Tumor
213,C_214,Invasive_Tumor
214,C_215,Invasive_Tumor
215,C_216,Invasive_Tumor
216,C_217,Invasive_Tumor
217,C_218,Stromal
218,C_219,Invasive_Tumor
219,C_220,Stromal
220,C_221,Invasive_Tumor
221,C_222,Invasive_Tumor
222,C_223,Invasive_Tumor
223,C_224,Invasive_Tumor
224,C_225,Invasive_Tumor
225,C_226,Invasive_Tumor
226,C_227,Invasive_Tumor
227,C_228,Prolif_Invasive_Tumor
228,C_229,Endothelial
229,C_230,Invasive_Tumor
230,C_231,Stromal
231,C_232,Invasive_Tumor
232,C_233,Invasive_Tumor
233,C_234,Macrophages_1
234,C_235,Stromal
235,C_236,Invasive_Tumor
236,C_237,Invasive_Tumor
237,C_238,Invasive_Tumor
238,C_239,Invasive_Tumor
239,C_240,Invasive_Tumor
240,C_241,T_Cell_&_Tumor_Hybrid
241,C_242,Stromal
242,C_243,Prolif_Invasive_Tumor
243,C_244,Prolif_Invasive_Tumor
244,C_245,Invasive_Tumor
245,C_246,Prolif_Invasive_Tumor
246,C_247,Invasive_Tumor
247,C_248,Invasive_Tumor
248,C_249,Invasive_Tumor
249,C_250,Invasive_Tumor
250,C_251,Invasive_Tumor
251,C_252,Invasive_Tumor
252,C_253,Invasive_Tumor
253,C_254,CD4+_T_Cells
254,C_255,Invasive_Tumor
255,C_256,Invasive_Tumor
256,C_257,Prolif_Invasive_Tumor
257,C_258,Stromal
258,C_259,Invasive_Tumor
259,C_260,Invasive_Tumor
260,C_261,Macrophages_1
261,C_262,Prolif_Invasive_Tumor
262,C_263,Invasive_Tumor
263,C_264,Invasive_Tumor
264,C_265,Prolif_Invasive_Tumor
265,C_266,Macrophages_1
266,C_267,Invasive_Tumor
267,C_268,Macrophages_1
268,C_269,Invasive_Tumor
269,C_270,Invasive_Tumor
270,C_271,Invasive_Tumor
271,C_272,Invasive_Tumor
272,C_273,Invasive_Tumor
273,C_274,Invasive_Tumor
274,C_275,Invasive_Tumor
275,C_276,Invasive_Tumor
276,C_277,Invasive_Tumor
277,C_278,Invasive_Tumor
278,C_279,Invasive_Tumor
279,C_280,Prolif_Invasive_Tumor
280,C_281,Stromal
281,C_282,Invasive_Tumor
282,C_283,Stromal
283,C_284,Invasive_Tumor
284,C_285,Invasive_Tumor
285,C_286,Invasive_Tumor
286,C_287,Invasive_Tumor
287,C_288,Invasive_Tumor
288,C_289,Invasive_Tumor
289,C_290,B_Cells
290,C_291,Macrophages_1
291,C_292,Stromal
292,C_293,Stromal
293,C_294,Invasive_Tumor
294,C_295,Invasive_Tumor
295,C_296,Invasive_Tumor
296,C_297,Invasive_Tumor
297,C_298,Invasive_Tumor
298,C_299,Invasive_Tumor
299,C_300,Invasive_Tumor
300,C_301,Invasive_Tumor
301,C_302,Invasive_Tumor
302,C_303,Invasive_Tumor
303,C_304,Stromal
304,C_305,CD8+_T_Cells
305,C_306,Invasive_Tumor
306,C_307,Invasive_Tumor
307,C_308,Macrophages_1
308,C_309,Invasive_Tumor
309,C_310,Invasive_Tumor
310,C_311,Invasive_Tumor
311,C_312,Invasive_Tumor
312,C_313,Endothelial
313,C_314,Invasive_Tumor
314,C_315,Invasive_Tumor
315,C_316,Invasive_Tumor
316,C_317,Macrophages_1
317,C_318,Invasive_Tumor
318,C_319,Invasive_Tumor
319,C_320,Stromal
320,C_321,Invasive_Tumor
321,C_322,Invasive_Tumor
322,C_323,Invasive_Tumor
323,C_324,Invasive_Tumor
324,C_325,Invasive_Tumor
325,C_326,Invasive_Tumor
326,C_327,Endothelial
327,C_328,Invasive_Tumor
328,C_329,Invasive_Tumor
329,C_330,Prolif_Invasive_Tumor
330,C_331,Invasive_Tumor
331,C_332,Prolif_Invasive_Tumor
332,C_333,Invasive_Tumor
333,C_334,Invasive_Tumor
334,C_335,Prolif_Invasive_Tumor
335,C_336,Invasive_Tumor
336,C_337,T_Cell_&_Tumor_Hybrid
337,C_338,Invasive_Tumor
338,C_339,Endothelial
339,C_340,T_Cell_&_Tumor_Hybrid
340,C_341,Macrophages_1
341,C_342,Invasive_Tumor
342,C_343,Stromal
343,C_344,Invasive_Tumor
344,C_345,Invasive_Tumor
345,C_346,Invasive_Tumor
346,C_347,CD8+_T_Cells
347,C_348,Invasive_Tumor
348,C_349,Invasive_Tumor
349,C_350,Endothelial
350,C_351,Invasive_Tumor
351,C_352,Stromal
352,C_353,Invasive_Tumor
353,C_354,Invasive_Tumor
354,C_355,Invasive_Tumor
355,C_356,Invasive_Tumor
356,C_357,Invasive_Tumor
357,C_358,Stromal
358,C_359,Invasive_Tumor
