,Cell,Cell_type
0,C_1,Macrophages_1
1,C_2,Invasive_Tumor
2,C_3,Stromal
3,C_4,Invasive_Tumor
4,C_5,Invasive_Tumor
5,C_6,Stromal
6,C_7,Invasive_Tumor
7,C_8,Invasive_Tumor
8,C_9,Invasive_Tumor
9,C_10,Prolif_Invasive_Tumor
10,C_11,Invasive_Tumor
11,C_12,Invasive_Tumor
12,C_13,CD8+_T_Cells
13,C_14,Invasive_Tumor
14,C_15,Invasive_Tumor
15,C_16,Invasive_Tumor
16,C_17,Invasive_Tumor
17,C_18,Invasive_Tumor
18,C_19,Invasive_Tumor
19,C_20,Invasive_Tumor
20,C_21,Macrophages_1
21,C_22,Macrophages_1
22,C_23,Invasive_Tumor
23,C_24,Invasive_Tumor
24,C_25,Invasive_Tumor
25,C_26,Prolif_Invasive_Tumor
26,C_27,Invasive_Tumor
27,C_28,Stromal
28,C_29,Invasive_Tumor
29,C_30,Stromal
30,C_31,Prolif_Invasive_Tumor
31,C_32,Invasive_Tumor
32,C_33,Prolif_Invasive_Tumor
33,C_34,Invasive_Tumor
34,C_35,Invasive_Tumor
35,C_36,Stromal
36,C_37,Invasive_Tumor
37,C_38,Stromal
38,C_39,Invasive_Tumor
39,C_40,Invasive_Tumor
40,C_41,Invasive_Tumor
41,C_42,Invasive_Tumor
42,C_43,Invasive_Tumor
43,C_44,Invasive_Tumor
44,C_45,Invasive_Tumor
45,C_46,Invasive_Tumor
46,C_47,Stromal
47,C_48,Invasive_Tumor
48,C_49,Invasive_Tumor
49,C_50,Stromal
50,C_51,Invasive_Tumor
51,C_52,Stromal
52,C_53,Prolif_Invasive_Tumor
53,C_54,Stromal
54,C_55,Invasive_Tumor
55,C_56,Invasive_Tumor
56,C_57,Invasive_Tumor
57,C_58,Invasive_Tumor
58,C_59,Invasive_Tumor
59,C_60,T_Cell_&_Tumor_Hybrid
60,C_61,Prolif_Invasive_Tumor
61,C_62,Invasive_Tumor
62,C_63,Prolif_Invasive_Tumor
63,C_64,Invasive_Tumor
64,C_65,Invasive_Tumor
65,C_66,Invasive_Tumor
66,C_67,Invasive_Tumor
67,C_68,Invasive_Tumor
68,C_69,CD4+_T_Cells
69,C_70,Invasive_Tumor
70,C_71,Invasive_Tumor
71,C_72,Invasive_Tumor
72,C_73,Stromal
73,C_74,Invasive_Tumor
74,C_75,Invasive_Tumor
75,C_76,Invasive_Tumor
76,C_77,Invasive_Tumor
77,C_78,Prolif_Invasive_Tumor
78,C_79,Endothelial
79,C_80,Prolif_Invasive_Tumor
80,C_81,Invasive_Tumor
81,C_82,Invasive_Tumor
82,C_83,Invasive_Tumor
83,C_84,Stromal
84,C_85,Invasive_Tumor
85,C_86,Invasive_Tumor
86,C_87,Invasive_Tumor
87,C_88,Invasive_Tumor
88,C_89,Endothelial
89,C_90,Macrophages_1
90,C_91,Invasive_Tumor
91,C_92,Invasive_Tumor
92,C_93,Invasive_Tumor
93,C_94,Prolif_Invasive_Tumor
94,C_95,Stromal
95,C_96,Stromal
96,C_97,Invasive_Tumor
97,C_98,Invasive_Tumor
98,C_99,Invasive_Tumor
99,C_100,Stromal
100,C_101,Stromal
101,C_102,Invasive_Tumor
102,C_103,Invasive_Tumor
103,C_104,CD8+_T_Cells
104,C_105,Invasive_Tumor
105,C_106,Stromal
106,C_107,Invasive_Tumor
107,C_108,Invasive_Tumor
108,C_109,Invasive_Tumor
109,C_110,Stromal
110,C_111,Invasive_Tumor
111,C_112,Endothelial
112,C_113,Invasive_Tumor
113,C_114,Invasive_Tumor
114,C_115,Stromal
115,C_116,Invasive_Tumor
116,C_117,Invasive_Tumor
117,C_118,Invasive_Tumor
118,C_119,Invasive_Tumor
119,C_120,Stromal
120,C_121,Prolif_Invasive_Tumor
121,C_122,Macrophages_1
