,Cell,Cell_type
0,C_1,Invasive_Tumor
1,C_2,Macrophages_1
2,C_3,T_Cell_&_Tumor_Hybrid
3,C_4,Endothelial
4,C_5,Macrophages_1
5,C_6,Endothelial
6,C_7,B_Cells
7,C_8,Stromal
8,C_9,Invasive_Tumor
9,C_10,Endothelial
10,C_11,Prolif_Invasive_Tumor
11,C_12,Invasive_Tumor
12,C_13,Stromal
13,C_14,Macrophages_1
14,C_15,Prolif_Invasive_Tumor
15,C_16,Stromal
16,C_17,Invasive_Tumor
17,C_18,Macrophages_1
18,C_19,Macrophages_1
19,C_20,CD8+_T_Cells
20,C_21,Stromal
21,C_22,Invasive_Tumor
22,C_23,Endothelial
23,C_24,CD8+_T_Cells
24,C_25,T_Cell_&_Tumor_Hybrid
25,C_26,CD8+_T_Cells
26,C_27,Invasive_Tumor
27,C_28,B_Cells
28,C_29,Prolif_Invasive_Tumor
29,C_30,T_Cell_&_Tumor_Hybrid
30,C_31,B_Cells
31,C_32,Stromal
32,C_33,Stromal
33,C_34,Invasive_Tumor
34,C_35,Prolif_Invasive_Tumor
35,C_36,Endothelial
36,C_37,Prolif_Invasive_Tumor
37,C_38,Invasive_Tumor
38,C_39,CD4+_T_Cells
39,C_40,Macrophages_1
40,C_41,Endothelial
41,C_42,Prolif_Invasive_Tumor
42,C_43,Invasive_Tumor
43,C_44,Macrophages_1
44,C_45,CD8+_T_Cells
45,C_46,Invasive_Tumor
46,C_47,Prolif_Invasive_Tumor
47,C_48,Macrophages_1
48,C_49,T_Cell_&_Tumor_Hybrid
49,C_50,Endothelial
50,C_51,Prolif_Invasive_Tumor
51,C_52,Prolif_Invasive_Tumor
52,C_53,CD8+_T_Cells
53,C_54,CD4+_T_Cells
54,C_55,Macrophages_1
55,C_56,Endothelial
56,C_57,CD8+_T_Cells
57,C_58,Invasive_Tumor
58,C_59,Macrophages_1
59,C_60,Endothelial
60,C_61,Prolif_Invasive_Tumor
61,C_62,Prolif_Invasive_Tumor
62,C_63,Prolif_Invasive_Tumor
63,C_64,Prolif_Invasive_Tumor
64,C_65,B_Cells
65,C_66,Invasive_Tumor
66,C_67,B_Cells
67,C_68,Prolif_Invasive_Tumor
68,C_69,Prolif_Invasive_Tumor
69,C_70,Stromal
70,C_71,CD8+_T_Cells
71,C_72,Invasive_Tumor
72,C_73,Invasive_Tumor
73,C_74,Macrophages_1
74,C_75,Macrophages_1
75,C_76,CD8+_T_Cells
76,C_77,Macrophages_1
77,C_78,B_Cells
78,C_79,T_Cell_&_Tumor_Hybrid
79,C_80,Macrophages_1
80,C_81,Endothelial
81,C_82,Endothelial
82,C_83,Invasive_Tumor
83,C_84,T_Cell_&_Tumor_Hybrid
84,C_85,Macrophages_1
85,C_86,Stromal
86,C_87,Stromal
87,C_88,Prolif_Invasive_Tumor
88,C_89,Macrophages_1
89,C_90,Stromal
90,C_91,Stromal
91,C_92,CD4+_T_Cells
92,C_93,Endothelial
93,C_94,Endothelial
94,C_95,Prolif_Invasive_Tumor
95,C_96,Invasive_Tumor
96,C_97,Invasive_Tumor
97,C_98,Endothelial
98,C_99,Macrophages_1
99,C_100,Prolif_Invasive_Tumor
100,C_101,Stromal
101,C_102,Macrophages_1
102,C_103,Prolif_Invasive_Tumor
103,C_104,CD4+_T_Cells
104,C_105,Macrophages_1
105,C_106,T_Cell_&_Tumor_Hybrid
106,C_107,Macrophages_1
107,C_108,Macrophages_1
108,C_109,Invasive_Tumor
109,C_110,Stromal
110,C_111,Invasive_Tumor
111,C_112,Invasive_Tumor
112,C_113,CD8+_T_Cells
