col,row,B_Cells,CD8+_T_Cells,DCIS_1,DCIS_2,Endothelial,Invasive_Tumor,Macrophages_1,Myoepi_ACTA2+,Prolif_Invasive_Tumor,Stromal
5,5,0.0,0.0,0.043478260869565216,0.8260869565217391,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216
5,15,0.0,0.0,0.0,0.7894736842105263,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
5,25,0.0,0.0,0.0,0.6666666666666666,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.0,0.0
5,35,0.0,0.0,0.0,0.5185185185185185,0.0,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.0,0.18518518518518517
5,45,0.0,0.0,0.0,0.7931034482758621,0.0,0.06896551724137931,0.0,0.13793103448275862,0.0,0.0
5,55,0.0,0.0,0.0,0.5652173913043478,0.0,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.0,0.0
5,65,0.0,0.0,0.0,0.5666666666666667,0.03333333333333333,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
5,75,0.0,0.0,0.0,0.47058823529411764,0.029411764705882353,0.38235294117647056,0.0,0.08823529411764706,0.0,0.029411764705882353
5,85,0.0,0.0,0.0,0.8,0.0,0.08,0.04,0.08,0.0,0.0
5,95,0.0,0.0,0.0,0.65,0.0,0.2,0.0,0.0,0.0,0.15
5,105,0.0,0.0,0.0,0.72,0.0,0.28,0.0,0.0,0.0,0.0
5,115,0.0,0.0,0.0,0.8076923076923077,0.0,0.15384615384615385,0.038461538461538464,0.0,0.0,0.0
5,125,0.0,0.0,0.0,0.7037037037037037,0.0,0.2962962962962963,0.0,0.0,0.0,0.0
5,135,0.0,0.0,0.0,0.5862068965517241,0.034482758620689655,0.3448275862068966,0.0,0.0,0.0,0.034482758620689655
5,145,0.0,0.0,0.0,0.5769230769230769,0.0,0.38461538461538464,0.038461538461538464,0.0,0.0,0.0
15,5,0.0,0.0,0.0,0.8571428571428571,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.8148148148148148,0.0,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0
15,25,0.0,0.0,0.0,0.6153846153846154,0.0,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.0,0.07692307692307693
15,35,0.0,0.0,0.0,0.5454545454545454,0.0,0.06060606060606061,0.0,0.24242424242424243,0.0,0.15151515151515152
15,45,0.0,0.0,0.0,0.6296296296296297,0.0,0.2222222222222222,0.07407407407407407,0.0,0.0,0.07407407407407407
15,55,0.0,0.0,0.0,0.7368421052631579,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0
15,65,0.0,0.0,0.0,0.8,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0
15,75,0.0,0.0,0.0,0.65625,0.0,0.25,0.03125,0.0,0.0,0.0625
15,85,0.0,0.0,0.0,0.6296296296296297,0.0,0.2222222222222222,0.037037037037037035,0.1111111111111111,0.0,0.0
15,95,0.0,0.0,0.0,0.65,0.05,0.15,0.05,0.05,0.0,0.05
15,105,0.0,0.0,0.0,0.6521739130434783,0.0,0.2608695652173913,0.0,0.043478260869565216,0.0,0.043478260869565216
15,115,0.0,0.0,0.0,0.6071428571428571,0.0,0.25,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571
15,125,0.0,0.0,0.0,0.7083333333333334,0.0,0.125,0.0,0.16666666666666666,0.0,0.0
15,135,0.0,0.0,0.0,0.6956521739130435,0.0,0.30434782608695654,0.0,0.0,0.0,0.0
15,145,0.0,0.0,0.0,0.6551724137931034,0.0,0.13793103448275862,0.034482758620689655,0.10344827586206896,0.0,0.06896551724137931
25,5,0.0,0.0,0.0,0.625,0.0,0.25,0.0,0.0625,0.0,0.0625
25,15,0.0,0.0,0.0,0.6129032258064516,0.0,0.2903225806451613,0.0,0.0967741935483871,0.0,0.0
25,25,0.0,0.0,0.0,0.6956521739130435,0.0,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
25,35,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0
25,45,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
25,55,0.0,0.08,0.0,0.72,0.0,0.04,0.16,0.0,0.0,0.0
25,65,0.0,0.0,0.0,0.7037037037037037,0.0,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.0,0.07407407407407407
25,75,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.10714285714285714,0.0,0.03571428571428571
25,85,0.0,0.0,0.0,0.4,0.04,0.56,0.0,0.0,0.0,0.0
25,95,0.0,0.0,0.0,0.76,0.0,0.16,0.04,0.04,0.0,0.0
25,105,0.0,0.0,0.0,0.5161290322580645,0.0,0.2903225806451613,0.0,0.16129032258064516,0.0,0.03225806451612903
25,115,0.0,0.03333333333333333,0.0,0.7,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667
25,125,0.0,0.0,0.0,0.7878787878787878,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.06060606060606061
25,135,0.0,0.0,0.0,0.5666666666666667,0.0,0.26666666666666666,0.03333333333333333,0.1,0.0,0.03333333333333333
25,145,0.0,0.0,0.0,0.6071428571428571,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571
35,5,0.0,0.0,0.0,0.9090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0
35,15,0.0,0.0,0.0,0.6551724137931034,0.034482758620689655,0.1724137931034483,0.0,0.06896551724137931,0.0,0.06896551724137931
35,25,0.0,0.0,0.0,0.5454545454545454,0.0,0.42424242424242425,0.0,0.030303030303030304,0.0,0.0
35,35,0.0,0.0,0.0,0.6153846153846154,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693
35,45,0.0,0.0,0.0,0.5416666666666666,0.0,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.0,0.16666666666666666
35,55,0.0,0.0,0.0,0.5172413793103449,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.20689655172413793,0.0,0.0
35,65,0.0,0.0,0.0,0.7692307692307693,0.0,0.11538461538461539,0.0,0.038461538461538464,0.0,0.07692307692307693
35,75,0.0,0.0,0.0,0.6875,0.0,0.15625,0.0,0.125,0.0,0.03125
35,85,0.0,0.0,0.0,0.6,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0
35,95,0.0,0.0,0.0,0.47368421052631576,0.05263157894736842,0.47368421052631576,0.0,0.0,0.0,0.0
35,105,0.0,0.034482758620689655,0.0,0.8275862068965517,0.0,0.13793103448275862,0.0,0.0,0.0,0.0
35,115,0.0,0.0,0.0,0.6666666666666666,0.03333333333333333,0.26666666666666666,0.0,0.03333333333333333,0.0,0.0
35,125,0.0,0.0,0.0,0.76,0.0,0.12,0.0,0.04,0.0,0.08
35,135,0.0,0.0,0.0,0.625,0.03125,0.3125,0.0,0.03125,0.0,0.0
35,145,0.0,0.0,0.0,0.8148148148148148,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035
45,5,0.0,0.0,0.0,0.6153846153846154,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
45,15,0.0,0.0,0.0,0.8181818181818182,0.0,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,0.0
45,25,0.0,0.0,0.0,0.65625,0.0,0.3125,0.0,0.0,0.0,0.03125
45,35,0.0,0.0,0.0,0.76,0.0,0.08,0.04,0.08,0.04,0.0
45,45,0.0,0.0,0.0,0.6521739130434783,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216
45,55,0.0,0.0,0.0,0.8,0.04,0.04,0.04,0.04,0.04,0.0
45,65,0.0,0.0,0.0,0.8611111111111112,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.0
45,75,0.0,0.043478260869565216,0.0,0.5652173913043478,0.0,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.0,0.043478260869565216
45,85,0.0,0.0,0.0,0.5714285714285714,0.0,0.39285714285714285,0.0,0.03571428571428571,0.0,0.0
45,95,0.0,0.0,0.0,0.6333333333333333,0.0,0.2,0.03333333333333333,0.06666666666666667,0.0,0.06666666666666667
45,105,0.0,0.0,0.041666666666666664,0.5416666666666666,0.0,0.25,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664
45,115,0.0,0.0,0.0,0.8571428571428571,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0
45,125,0.0,0.0,0.0,0.4642857142857143,0.0,0.2857142857142857,0.10714285714285714,0.03571428571428571,0.0,0.10714285714285714
45,135,0.0,0.0,0.0,0.72,0.0,0.04,0.04,0.08,0.0,0.12
45,145,0.0,0.0,0.0,0.78125,0.03125,0.09375,0.0,0.0625,0.03125,0.0
55,5,0.0,0.0,0.0,0.88,0.0,0.04,0.0,0.04,0.0,0.04
55,15,0.0,0.0,0.0,0.7586206896551724,0.0,0.13793103448275862,0.0,0.10344827586206896,0.0,0.0
55,25,0.0,0.0,0.0,0.88,0.0,0.12,0.0,0.0,0.0,0.0
55,35,0.0,0.0,0.0,0.7916666666666666,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664
55,45,0.043478260869565216,0.0,0.0,0.4782608695652174,0.0,0.21739130434782608,0.0,0.21739130434782608,0.0,0.043478260869565216
55,55,0.0,0.041666666666666664,0.0,0.7083333333333334,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664
55,65,0.0,0.045454545454545456,0.0,0.7727272727272727,0.0,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0
55,75,0.0,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.0,0.0
55,85,0.0,0.0,0.0,0.78125,0.0,0.125,0.03125,0.0625,0.0,0.0
55,95,0.0,0.0,0.0,0.8181818181818182,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.045454545454545456
55,105,0.0,0.047619047619047616,0.0,0.6190476190476191,0.0,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616
55,115,0.0,0.0,0.0,0.68,0.0,0.12,0.0,0.16,0.0,0.04
55,125,0.0,0.03333333333333333,0.0,0.7666666666666667,0.0,0.1,0.06666666666666667,0.0,0.0,0.03333333333333333
55,135,0.0,0.0,0.0,0.7333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.0
55,145,0.0,0.0,0.0,0.6363636363636364,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0,0.045454545454545456,0.09090909090909091
